"NroFoto","SERIE","Nombre","RutaFoto","Fecha"
"28","   430","","C:\principal\fotos\bpose28.bmp","01/10/1999"
"29","   430","","C:\principal\fotos\pose37.bmp","14/10/1999"
"30","114","COMPARSITA","C:\principal\fotos\pose40.bmp","05/10/1999"
"31","114","COMPARSITA","C:\principal\fotos\pose35.bmp","13/10/1998"
"33","   5/2","CLARAGUA 5/2","C:\principal\fotos\pose40.bmp","15/04/1999"
"56","  S-38","CALIBRE","C:\fotos\s-38a.bmp","24/02/1999"
"57","     9","AMARILLA","C:\principal\fotos\pose34.bmp","23/05/2000"
"58","     9","AMARILLA","C:\principal\fotos\bpose28.bmp","20/05/1993"
"5","          01","Mostaza","C:\Archivos de programa\Simef Phoenix\fotos\docu0021.bmp","01/01/00"
"60","   621","CASERA","C:\principal\fotos\bpose27.jpg","03/05/2003"
"61","   621","CASERA","C:\principal\fotos\docu0013.bmp","01/05/2003"
