"Madre","Serie","Padre","Nombre","Tipologia","Pesodestete","Fecha","Caso","fecs"
"3806","","","","","0","1995-09-30 00:00:00","ABORTO",""
"563","","","","","0","1995-08-20 00:00:00","ABORTO",""
"187","","","","","0","1995-10-08 00:00:00","ABORTO",""
"2852","","","","","0","1995-11-30 00:00:00","ABORTO",""
"2852","","","","","0","1995-11-30 00:00:00","ABORTO",""
"187","","","","","0","1995-10-08 00:00:00","ABORTO",""
"1511","","","","","0","1996-01-28 00:00:00","ABORTO",""
"6502","","","","","0","1996-02-01 00:00:00","ABORTO",""
"571","","","","","0","1996-02-12 00:00:00","ABORTO",""
"1557","","","","","0","1996-06-02 00:00:00","ABORTO",""
"582","","","","","0","1996-06-26 00:00:00","ABORTO",""
"4832","","","","","0","1996-09-03 00:00:00","ABORTO",""
"3857","","","","","0","1996-11-10 00:00:00","ABORTO",""
"2855","","","","","0","1996-11-11 00:00:00","ABORTO",""
"2816","","","","","0","1997-04-23 00:00:00","ABORTO",""
"2813","","","","","0","1998-06-15 00:00:00","ABORTO",""
"8615","","","","","0","1998-08-05 00:00:00","ABORTO",""
"226","","","","","0","1997-04-23 00:00:00","ABORTO",""
"231","","","","","0","1995-09-17 00:00:00","ABORTO",""
"2804","","","","","0","1996-09-10 00:00:00","ABORTO",""
"2852","","","","","0","1995-12-15 00:00:00","ABORTO",""
"579","","","","","0","1995-09-28 00:00:00","ABORTO",""
"9580","","","","","0","1997-04-23 00:00:00","ABORTO",""
"012345678901","","","","","0","1997-12-27 00:00:00","ABORTO",""
"003JB","","","","","0","2014-05-25 00:00:00","ABORTO",""
"   243","","","","","0","1997-03-17 00:00:00","ABORTO",""
"   243","","","","","0","2000-03-10 00:00:00","ABORTO",""
"          01","","","","","0","2000-08-07 00:00:00","ABORTO",""
"25290","","","","","0","2011-10-03 00:00:00","ABORTO",""
"007JB","","","","","0","2014-11-18 00:00:00","ABORTO",""
"010","","","","","0","2014-11-27 00:00:00","ABORTO",""
"003JB","","","","","0","1999-03-09 00:00:00","NAC.MUE",""
"003RS","","","","","0","1999-03-09 00:00:00","NAC.MUE",""
"004","","","","","0","1999-04-08 00:00:00","NAC.MUE",""
"670","","","","","0","1993-05-17 00:00:00","NAC.MUE",""
"00/2","","","","","0","2014-10-18 00:00:00","NAC.MUE",""
"22","","","","","0","2014-12-08 00:00:00","NAC.MUE",""
"007","","","","","0","2003-04-29 00:00:00","NAC.MUE",""
"00/2","","","","","0","2014-10-18 00:00:00","NAC.MUE",""
"77","","","","","0","2014-12-08 00:00:00","NAC.MUE",""
"003RS","003rs-b","3808M","","BECERRO","","2003-04-29 00:00:00","PARTO","2013-04-19 00:00:00"
"          04","          01","         027","Mostaza","VACA PROD.VACIA","","1994-01-01 00:00:00","PARTO","2000-10-13 00:00:00"
"          11","          04","        29/4","","VACA VACIA","","1995-01-01 00:00:00","PARTO","2001-03-31 00:00:00"
"    13","22220","","","BECERRO","","2014-05-27 00:00:00","PARTO",""
"   798","   5/2","BB 353/3 (V8","CLARAGUA 5/2","VACA PREÑADA","","1994-11-27 00:00:00","PARTO","2000-10-13 00:00:00"
"   169","  S-38","  S-82","CALIBRE","TORO PADROTE","0","1990-02-27 00:00:00","PARTO",""
"E8004","001","D6026","CAMBALACHE","TORO PADROTE","0","1994-12-01 00:00:00","PARTO","1997-09-15 00:00:00"
"20530","29204","","","MAUTA","130","2009-08-31 00:00:00","PARTO","2012-05-08 00:00:00"
"9038","29341","","","MAUTA","180","2009-10-13 00:00:00","PARTO","2012-05-08 00:00:00"
"21116","29376","","","MAUTA","180","2009-11-16 00:00:00","PARTO","2012-05-08 00:00:00"
"26242","30624","","","MAUTA","210","2010-02-06 00:00:00","PARTO","2012-05-08 00:00:00"
"22498","31352","1022T","","BECERRA","","2011-04-12 00:00:00","PARTO","2012-05-08 00:00:00"
"6220","45200","583","","VACA VACIA","180","2006-02-17 00:00:00","PARTO",""
"45200","49501","P-407","","NOVILLA","320","2009-01-31 00:00:00","PARTO",""
"45200","49502","P-407","","MAUTE","180","2009-01-31 00:00:00","PARTO","2010-01-20 00:00:00"
"45200","50001","205","","BECERRA","","2010-01-20 00:00:00","PARTO",""
"   702","60000","299","","BECERRA","","2012-07-24 00:00:00","PARTO",""
"   153","012345678901","  S-50","","VACA VACIA","0","1991-04-09 00:00:00","PARTO",""
"012345678901","0201","001","0201","MAUTE","","1997-11-23 00:00:00","PARTO","2000-05-31 00:00:00"
"113","05","62","","BECERRO","0","1990-04-07 00:00:00","PARTO","1990-04-07 00:00:00"
"113","07","","","BECERRA","0","1988-12-01 00:00:00","PARTO","1988-12-01 00:00:00"
"012345678901","123/8","5/89","","BECERRO","0","1993-01-01 00:00:00","PARTO","1993-01-01 00:00:00"
"  2031","203199","   S-9","","BECERRA","","1999-07-22 00:00:00","PARTO",""
"5012","205","570","","TORO PADROTE","","1994-05-15 00:00:00","PARTO",""
"         471","2051","","","VACA VACIA","","1983-05-10 00:00:00","PARTO",""
"7196","243","648","","TORO PADROTE","","1994-08-15 00:00:00","PARTO",""
"   250","250/99","   S-7","","BECERRO","","1999-07-18 00:00:00","PARTO",""
"   266","266/99","   S-7","","BECERRA","","1999-07-18 00:00:00","PARTO",""
"204","2841","","","VACA VACIA","0","1905-09-07 00:00:00","PARTO","1995-06-30 00:00:00"
"16","2841M","","","MAUTE","0","1992-10-01 00:00:00","PARTO","1995-10-10 00:00:00"
"7082","299","754","","TORO PADROTE","","1994-12-15 00:00:00","PARTO",""
"5209","325","767","","TORO PADROTE","","1995-04-15 00:00:00","PARTO",""
"   361","361/99"," P-367","","BECERRA","","1999-07-13 00:00:00","PARTO",""
"   371","371/99"," S-407","","BECERRO","","1999-07-28 00:00:00","PARTO",""
"8551","3817","","","VACA PREÑADA","0","1993-04-14 00:00:00","PARTO","1996-05-23 00:00:00"
"9580","3831","","","VACA PREÑADA","0","1993-05-31 00:00:00","PARTO","1996-05-23 00:00:00"
"6505","3841","","","VACA PREÑADA","0","1993-08-30 00:00:00","PARTO","1996-05-23 00:00:00"
"224","3843","","CARNAVAL","VACA PROD.VACIA","0","1993-09-13 00:00:00","PARTO","1997-12-11 00:00:00"
"16","3846","","TIBISAY","VACA PREÑADA","0","1993-10-10 00:00:00","PARTO","1998-09-30 00:00:00"
"8538","3847","","","VACA PREÑADA","0","1993-10-11 00:00:00","PARTO","1996-05-23 00:00:00"
"9514","3848","","MEDIAS BLANCAS","VACA PROD.VACIA","0","1993-10-22 00:00:00","PARTO","1998-09-30 00:00:00"
"7013","3849","","CASCABEL","VACA PREÑADA","0","1993-10-22 00:00:00","PARTO","1996-12-02 00:00:00"
"8573","3850","","","VACA PREÑADA","0","1993-10-28 00:00:00","PARTO","1996-06-05 00:00:00"
"7612","3853","","","VACA PREÑADA","0","1993-10-31 00:00:00","PARTO","1996-05-23 00:00:00"
"557","3854","","","VACA PREÑADA","0","1993-10-31 00:00:00","PARTO",""
"76301","3855","","","VACA PROD.VACIA","0","1993-11-24 00:00:00","PARTO",""
