"Madre","Fnac","Nombre","Tipologia","Npartos","Nabortos","Nservicios","Lote","Observacion","FaproxParto","IDA","fepre","fecs","FECUP","Vaquera"
"    16","1994-01-01 00:00:00","","VACA PROD.VACIA","0","0","0"," A MEDIA LOTE 33 ","TRANSFERENCIA AUTOMATICA","","0","","","1998-05-01 00:00:00","Rebaño de la Finca"
"   668","1991-10-21 00:00:00","OREJA GACHA","VACA PROD.VACIA","4","","1","L1 VAC ORD","TIENE LA OREJA IZQ. GACHA","","0","","","1999-04-29 00:00:00","Rebaño de la Finca"
"   670","1992-03-05 00:00:00","BERTA","VACA PREÑADA","5","","0"," A MEDIA LOTE 33 ","","2018-04-14 00:00:00","0","2017-07-08 00:00:00","","1999-05-23 00:00:00","Rebaño de la Finca"
"   684","1992-01-01 00:00:00","CHOCOLATE","VACA PROD.VACIA","5","","1","L1 VAC ORD","","","0","","","1999-05-22 00:00:00","Rebaño de la Finca"
"   731","1992-02-12 00:00:00","BAYA","VACA PROD.VACIA","4","","0","L1 VAC ORD","","","0","","","1999-06-13 00:00:00","Rebaño de la Finca"
"   735","1992-06-02 00:00:00","TETA E' GOMA","VACA PROD.VACIA","5","","0","L1 VAC ORD","","","0","","","1999-07-08 00:00:00","Rebaño de la Finca"
"   747","1992-10-15 00:00:00","MIRAFLORES","VACA PROD.VACIA","4","","1","L1 VAC ORD","","1999-08-23 00:00:00","0","1998-11-11 00:00:00","","1999-08-17 00:00:00","Rebaño de la Finca"
"   787","1993-11-01 00:00:00","MELODIA","VACA PROD.VACIA","4","","1","L1 VAC ORD","","","0","","","1999-08-12 00:00:00","Rebaño de la Finca"
"   900","1993-10-10 00:00:00","COLORETE","VACA PROD.VACIA","3","","1","L1 VAC ORD","","","0","","","1999-06-10 00:00:00","Rebaño de la Finca"
"   956","1995-03-03 00:00:00","JUANA","VACA PROD.VACIA","3","","1","L1 VAC ORD","","","0","","","1999-06-10 00:00:00","Rebaño de la Finca"
"   959","1995-07-10 00:00:00","TORIBIA","VACA PROD.VACIA","3","","1","L1 VAC ORD","","","0","","","1999-08-15 00:00:00","Rebaño de la Finca"
"   963","1995-04-10 00:00:00","MOTOCICLETA","VACA PROD.VACIA","2","","0","L1 VAC ORD","CUERNOS HACIA ABAJO","","0","","","1999-09-10 00:00:00","Rebaño de la Finca"
"45200","2006-02-17 00:00:00","","VACA VACIA","2","","0","LOTE IA","","","0","","","2010-01-20 00:00:00",""
"00/2","2000-10-23 00:00:00","","VACA VACIA SIN CRIA","1","","1","NOVILLAS INSEMINADAS 2012","","","0","","","2014-10-18 00:00:00",""
"003JB","1988-11-11 00:00:00","003JB","VACA VACIA SIN CRIA","3","1","0","2 MACHOS","","","0","","","2001-06-22 00:00:00",""
"004","1988-11-11 00:00:00","004SA","VACA VACIA","3","0","1","3 HEMBRAS","","","0","","","2001-06-22 00:00:00","Rebaño de la Finca"
"005","1988-11-11 00:00:00","005EF","VACA VACIA","2","0","0","L1 VAC ORD","","","0","","","1999-07-02 00:00:00","Rebaño de la Finca"
"007","1988-11-11 00:00:00","007SA","VACA VACIA","2","0","0","L1 VAC ORD","","","0","","","2003-05-02 00:00:00","Rebaño de la Finca"
"007JB","1988-11-11 00:00:00","007JB","VACA VACIA SIN CRIA","1","1","0","L1","","","0","","","1998-03-23 00:00:00","Rebaño de la Finca"
"009","1988-11-11 00:00:00","009SA","VACA VACIA","0","0","1","L1","","1998-03-13 00:00:00","0","1997-06-01 00:00:00","","","Rebaño de la Finca"
"010","1988-11-11 00:00:00","010SA","VACA VACIA SIN CRIA","0","1","0","L1","","","0","","","","Rebaño de la Finca"
"011","1988-11-11 00:00:00","011JB","VACA VACIA SIN CRIA","2","0","1","L1 VAC ORD","","","0","","","2001-06-22 00:00:00","Rebaño de la Finca"
"012","1988-11-11 00:00:00","012JB","VACA PROD.VACIA","1","1","0","L1","T MORT.","","0","","","1998-03-25 00:00:00","Rebaño de la Finca"
"012345678901","1991-04-09 00:00:00","","VACA VACIA","5","1","0","LOTE IA","","","0","","","2000-07-29 00:00:00","Rebaño de la Finca"
"012G","1988-11-11 00:00:00","012G","VACA PREÑADA","0","0","0","L1","","1999-03-14 00:00:00","0","1998-06-17 00:00:00","","","Rebaño de la Finca"
"013","1988-11-11 00:00:00","013SA","VACA PREÑADA","0","0","0","L1","MADRE DEL OREJA MOCHA","1999-04-13 00:00:00","0","1998-07-17 00:00:00","","","Rebaño de la Finca"
"014","1988-11-11 00:00:00","014SA","VACA VACIA","1","0","0","L1","","","0","","","1998-03-16 00:00:00","Rebaño de la Finca"
