"Serie","Nombre","Raza","FechaNacimiento","NroReg1","NroReg2","Asociacion1","Asociacion2","SeriePadre","SerieMadre","NombrePadre","NombreMadre","Animal","Comentario","EsPajuelaPadre","Historia","NCICLO"
"14","REZADERA","MESTIZO BRAHMAN","1987-06-08 00:00:00","","","","","","","","","True","","False","False",""
"16","BRAGAITA","MESTIZO BRAHMAN","1986-06-08 00:00:00","","","","","","","","","True","","False","False",""
"40","MANANTIAL","MESTIZO BRAHMAN","1984-06-08 00:00:00","","","","","","","","","True","","False","False",""
"58","MUCURITA","MESTIZO BRAHMAN","1985-06-08 00:00:00","","","","","","","","","True","","False","False",""
"63","GARRAPATA","MESTIZO BRAHMAN","1984-06-08 00:00:00","","","","","","","","","True","","False","False",""
"71","CARIÑITO","MESTIZO BRAHMAN","1984-06-08 00:00:00","","","","","","","","","True","","False","False",""
"80","JARDIN","MESTIZO BRAHMAN","1991-06-07 00:00:00","","","","","","","","","True","","False","False",""
"81","SOL Y SOMBRA","MESTIZO BRAHMAN","1991-06-07 00:00:00","","","","","","","","","True","","False","False",""
"82","COLORADA","MESTIZO BRAHMAN","1991-06-07 00:00:00","","","","","","","","","True","","False","False",""
"113","MAÑANITA","MESTIZO BRAHMAN","1983-06-09 00:00:00","","","","","","","","","True","","False","False",""
"147","MI RECUERDO","MESTIZO BRAHMAN","1988-06-07 00:00:00","","","","","","","","","True","","False","False",""
"157","RAMILLETE","MESTIZO BRAHMAN","1982-06-09 00:00:00","","","","","","","","","True","","False","False",""
"170","CHIPOLA","MESTIZO BRAHMAN","1989-06-07 00:00:00","","","","","","","","","True","","False","False",""
"171","ABUNDANCIA","MESTIZO BRAHMAN","1987-06-08 00:00:00","","","","","","","","","True","","False","False",""
"179","PAN DE TRIGO","MESTIZO BRAHMAN","1983-06-09 00:00:00","","","","","","","","","True","","False","False",""
"187","PALMA SOLA","MESTIZO BRAHMAN","1988-06-07 00:00:00","","","","","","","","","True","","False","False",""
"196","MEDIA ONZA","MESTIZO BRAHMAN","1989-06-07 00:00:00","","","","","","","","","True","","False","False",""
"204","MEDIA JARRA","MESTIZO BRAHMAN","1988-06-07 00:00:00","","","","","","","","","True","","False","False",""
"224","SIETE CUERO","MESTIZO BRAHMAN","1988-06-07 00:00:00","","","","","","","","","True","","False","False",""
"226","FASTIDIOSA","MESTIZO BRAHMAN","1989-06-07 00:00:00","","","","","","","","","True","","False","False",""
"231","MATEGUAN","MESTIZO BRAHMAN","1988-06-07 00:00:00","","","","","","","","","True","","False","False",""
"369","GARCITA","MESTIZO BRAHMAN","1989-06-07 00:00:00","","","","","","","","","True","","False","False",""
"450","MANATI","MESTIZO BRAHMAN","1984-06-08 00:00:00","","","","","","","","","True","","False","False",""
"453","OVEJITA","MESTIZO BRAHMAN","1983-06-09 00:00:00","","","","","","","","","True","","False","False",""
"387","PLAZO FIJO","MESTIZO BRAHMAN","1984-06-08 00:00:00","","","","","","","","","True","","False","False",""
"459","PICURA","MESTIZO BRAHMAN","1986-06-09 00:00:00","","","","","","","","","True","","False","False",""
"465","MONEDITA","MESTIZO BRAHMAN","1984-06-09 00:00:00","","","","","","","","","True","","False","False",""
"505","TURPIAL","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"529","RASIMITO","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"536","AÑO NUEVO","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"549","CAPINITA","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"550","PRINCESITA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"557","SEÑORITA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"114","COMPARSITA","MESTIZO BRAHMAN","1988-06-07 00:00:00","","","","","","","","","True","","False","False",""
"562","GUACAVA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"563","GUAVINA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"571","CARAMELO","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"577","OJO DE AGUA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"579","PEPSICOLA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"581","YO TE VI","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"582","CHILINDRINA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"584","ACEITUNA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"585","ESTRELLA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"586","MELOCOTON","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"589","MUCIUA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"812","LUCERO","MESTIZO BRAHMAN","1986-06-09 00:00:00","","","","","","","","","True","","False","False",""
"1511","PALOMA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1512","MACANILLA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1524","LA TIGRA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1527","FLUORESCENTE","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1529","BARCELONA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1530","MARIPOSA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1539","MINA  DE ORO","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1541","REINITA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1549","LA GRINGA","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1550","PUERTO RICO","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1557","DANGER","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1563","YOLLY","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1571","AJEDRES","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1572","CAMPANITA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1574","BLANCA NIEVES","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1575","LA CORIANA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1579","DOBLE CENA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1584","CAFETERA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1586","GARGANTILLA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1588","FLOR DE PATRIA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1591","POLARCITA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1592","MARTILLITO","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1593","CUCARACHA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1594","VALLA Y VUELVA","MESTIZO BRAHMAN","1991-06-13 00:00:00","","","","","","","","","True","","False","False",""
"1595","COJEDEÑA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"00/52","","","2009-05-10 00:00:00","","","","","","","","","True","","False","False",""
"00/2","","","2000-10-23 00:00:00","","","","","","","","","True","","False","False",""
"00/39","","","2008-03-09 00:00:00","","","","","","","","","True","","False","False",""
"00/71","","","2009-07-20 00:00:00","","","","","","","","","True","","False","False",""
"00/73","","","2010-02-04 00:00:00","","","","","","","","","True","","False","False",""
"00/74","","","2010-02-16 00:00:00","","","","","","","","","True","","False","False",""
"8095","","","1998-08-02 00:00:00","","","","","","","","","True","","False","False",""
"8099","","","1998-08-02 00:00:00","","","","","","","","","True","","False","False",""
"8112","","","1998-09-03 00:00:00","","","","","","","","","True","","False","False",""
"8122","","","1997-11-22 00:00:00","","","","","","","","","True","","False","False",""
"8141","","","1998-10-13 00:00:00","","","","","","","","","True","","False","False",""
"10021","","","2003-11-11 00:00:00","","","","","","","","","True","","False","False",""
"10024","","","2001-01-27 00:00:00","","","","","","","","","True","","False","False",""
"10036","","","2005-08-29 00:00:00","","","","","","","","","True","","False","False",""
"22369","","","2002-10-06 00:00:00","","","","","","","","","True","","False","False",""
"22456","","","2002-12-11 00:00:00","","","","","","","","","True","","False","False",""
"23221","","","2003-09-11 00:00:00","","","","","","","","","True","","False","False",""
"23406","","","2003-11-04 00:00:00","","","","","","","","","True","","False","False",""
"24077","","","2004-08-30 00:00:00","","","","","","","","","True","","False","False",""
"25040","","","2005-08-14 00:00:00","","","","","","","","","True","","False","False",""
"25049","","","2005-08-20 00:00:00","","","","","","","","","True","","False","False",""
"25077","","","2005-08-24 00:00:00","","","","","","","","","True","","False","False",""
"25108","","","2005-08-29 00:00:00","","","","","","","","","True","","False","False",""
"25118","","","2005-08-29 00:00:00","","","","","","","","","True","","False","False",""
