"TAB","NombreCampo","CampoReal","TipoDato"
"HSA","Motivo","SGHSAL.MOTIVO","9"
"HSA","Destino","SGHSAL.DESTINO","10"
"REP","Fecha Aproximada Parto","SGPROD.FECAP","1"
"PRO","Fecha Aproximada Secado","SGPROD.FECAS","1"
"PRO","Fecha Principio Ordeño","SGPROD.FECPO","1"
"PRO","Fecha Fin de Ordeño","SGPROD.FECFO","1"
"PSO","Peso Actual","SGANIM.PESACT","3"
"PSO","Peso al Destete","SGANIM.PESDES","3"
"PSO","GDP Actual","SGANIM.ULTGDP","4"
"PSO","Fecha Ultimo Peso","SGANIM.FULPES","1"
"PSO","Peso Inicial","SGANIM.PESOI","3"
"PSO","Fecha de Destete","SGANIM.FECDES","1"
"REP","Días entre Partos","SGANIM.DPARTO","16"
"REP","Número de Partos","SGANIM.NPARTO","0"
"REP","Número de Abortos","SGANIM.ABORTO","0"
"REP","Número de Servicios","SGANIM.NSERVI","0"
"REP","Fecha Ultimo Parto","SGANIM.FECUP","1"
"REP","Edad Primer Parto","SGANIM.EDADPP","0"
"REP","Peso del Primer Parto","SGANIM.PESOPP","3"
"DG","Nombre de la Madre","SGANIM.NOMBREM","12"
"DG","Nombre del Padre","SGANIM.NOMBREP","12"
"DG","Nombre de la Pajuela","SGANIM.PAJU","15"
"DG","Precio de Compra","SGANIM.PRECIO","8"
"PRO","Litros Producidos","SGPROD.PROLT","3"
"PRO","Litros Promedio","SGPROD.PROM","3"
"PRO","Dias en Ordeño","SGPROD.DIAORD","16"
"PRO","Salas de Ordeño","SGANIM.VAQUERA","24"
"DG","Procedencia","SGANIM.PROCEDE","14"
"DG","Lote","SGANIM.LOTE","7"
"HSA","Fecha de Salida","SGHSAL.FECS","1"
"HSA","Peso de Salida","SGHSAL.PESOS","3"
"HSA","Ingreso","SGHSAL.INGBS","8"
"DG","Serie del Animal","SGANIM.SERIE","11"
"DG","Código Madre","SGANIM.CODM","11"
"DG","Código Padre","SGANIM.CODP","11"
"DG","Fecha Nacimiento","SGANIM.FNAC","1"
"DG","Fecha Registro","SGANIM.FECR","1"
"DG","Tipología","SGTIPO.DESCUSU","6"
"DG","Raza","SGANIM.RAZA","5"
"DG","Estado Corporal","SGANIM.ESTADO","13"
"DG","Sexo","SGANIM.SEXO","23"
"PRO","Dias en Ordeño (Hist)","SGHPRO.DIAORD","16"
"PRO","Fecha Fin de Ordeño (Hist)","SGHPRO.FECFO","1"
"REP","Fecha de Parto (Hist)","SGHPRO.FECPAR","1"
"PRO","Fecha Principio Ordeño (Hist)","SGHPRO.FECPO","1"
"PRO","Litros Producidos (Hist)","SGHPRO.PROLT","3"
"PRO","Litros Promedio (Hist)","SGHPRO.PROM","3"
