"SERIE","SEXO","PESDES","PESO","DIFDIA","DIFPES","PESOI","PA1","PA2","PA3","PA4","C1","C2","C3","C4","VR1","VR2","VR3","VR4","GDP","RAZA","LOTE","TIPO","FNAC"
"003","-","0","450","","","450","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO CARORA","9 TUY","MAUTE","1995-12-01 00:00:00"
"0201","-","","600","","","400","0","0","0","606","0","0","0","1","0","0","0","100","0.081","MESTIZO CARORA","13 MA","MAUTE","1997-11-23 00:00:00"
"2812M","-","0","0","","","494","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","","MAUTE","1992-04-16 00:00:00"
"2813M","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1992-04-27 00:00:00"
"2826M","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1992-07-24 00:00:00"
"2832M","-","0","390","","","390","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","","MAUTE","1992-09-19 00:00:00"
"2835M","-","0","0","","","464","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","","MAUTE","1993-06-08 00:00:00"
"2838M","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1992-09-24 00:00:00"
"2840M","-","0","0","","","496","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","","MAUTE","1992-10-08 00:00:00"
"2841M","-","0","0","","","486","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","","MAUTE","1992-10-01 00:00:00"
"2847M","-","0","448","","","448","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1992-11-02 00:00:00"
"2848M","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1992-11-02 00:00:00"
"2852M","-","0","452","","","452","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1992-11-07 00:00:00"
"2853M","-","0","0","","","540","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1992-11-09 00:00:00"
"2855M","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1992-12-03 00:00:00"
"2857M","-","0","430","","","430","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1992-12-04 00:00:00"
"2859M","-","0","520","","","520","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1992-12-05 00:00:00"
"2863M","-","0","0","","","610","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1993-12-21 00:00:00"
"2864M","-","0","0","","","470","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1992-12-23 00:00:00"
"3003M","-","0","460","","","378","0","0","0","0","0","0","0","0","0","0","0","0","0.667","MESTIZO BRAHMAN","7 MAT","MAUTE","1993-01-23 00:00:00"
"3012M","-","0","494","","","436","0","0","0","0","0","0","0","0","0","0","0","0","0.824","MESTIZO BRAHMAN","7 MAT","MAUTE","1993-02-02 00:00:00"
"3021M","-","0","478","","","359","472","0","0","0","2","0","0","0","97.8583127734124","0","0","0","0.921","MESTIZO BRAHMAN","5 MAU","MAUTE","1993-02-05 00:00:00"
