SERIE,FNAC,FECR,TIPO,RAZA,SEXO,COLORPE,OBSER,PROCEDE,ESTADO,PESOI,PRECIO,PPIES,PESACT,FULPES,NPARTO,DPARTO,NSERVI,FECUP,ABORTO,EDADPP,TIPOAP,LOTE,LTEMP,ULTGDP,COD,CODAP,Pa1,Pa2,Pa3,Pa4,UA,EsPajuelaPadre,Vaquera,Historia,NCRIAS,NPARREPOR,NABOREPOR,PESOPP,LPAST,FECS,FECUA,PESDES,COLORBO,COLORMO,CODP,NOMBRE,ASOC1,SERIE1,FECDES,TIPOPS,CODPS,CODM,PAJU,RAZAMADRE,FECNACMADRE,RAZAPADRE,FECNACPADRE,NOMBREP,NOMBREM,NROREGMADRE1,ASOCMADRE1,ASOCPADRE1,NROREGPADRE1,ASOCPADRE2
13,1988-07-16T00:00:00,1995-06-16T00:00:00,VACA PROD.VACIA,MESTIZO BRAHMAN,0,BLANCO,RECUPERADA EN TRAB. CAMPO OCT.2010,VENCOSA,CONDICION 1,435,230,440,435,1995-06-16T00:00:00,1,652,0,1996-06-18T00:00:00,0,07-11,VACA PROD.VACIA,LOTE3,lote 01,0,12,12,0,0,0,0,1,0,Rebaño de la Finca,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1994-01-01T00:00:00,1996-01-27T00:00:00,VACA PROD.VACIA,BRAHMAN,0,,TRANSFERENCIA AUTOMATICA,LAS LUISAS,CONDICION 1,490,0,,,,0,665,0,,0,,VACA VACIA,SEIS,,0,12,11,0,0,0,0,1,0,Rebaño de la Finca,0,1,0,0,0,TRES,,,,,,,,,,,,,,,,,,,,,,,,,
22,1994-01-01T00:00:00,1996-01-27T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,LAS LUISAS,CONDICI 1,360,0,,,,2,441,0,2000-12-13T00:00:00,0,05-08,VACA VACIA SIN CRIA,VAQUERA,,0,13,13,0,0,0,0,1,0,Rebaño de la Finca,0,4,2,0,0,,2001-11-21T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
27,1990-02-10T00:00:00,1996-01-27T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,INSEMINACION  CARLOS J.,LOS LIRIOS,CONDICION 1,407,0,,407,,5,530,0,2001-01-04T00:00:00,0,05-11,VACA VACIA SIN CRIA,SEIS,,0,13,13,0,0,0,0,1,0,Rebaño de la Finca,0,3,5,0,0,,2001-01-22T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
40,1994-01-01T00:00:00,1996-01-27T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,LAS LUISAS,CONDICION 1,394,0,,,,4,568,0,2001-08-28T00:00:00,0,02-10,VACA VACIA SIN CRIA,UNO,uno vacio,0,13,13,0,0,0,0,1,0,Rebaño de la Finca,0,4,4,0,0,,2002-05-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
41,1988-07-16T00:00:00,1995-06-16T00:00:00,VACA VACIA,MESTIZO BRAHMAN,0,BLANCO,,FINCA,CONDICION 2,440,230,440,,,2,410,0,1997-08-01T00:00:00,0,07-11,VACA PROD.VACIA,DOS,,0,11,12,0,0,0,0,1,0,Rebaño de la Finca,0,2,2,0,,,1998-01-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
42,1989-07-16T00:00:00,1995-07-05T00:00:00,VACA PREÑADA,MESTIZO BRAHMAN,0,BLANCO,,FINCA,CONDICION 2,396,230,140,,,3,397,0,1996-07-29T00:00:00,0,05-11,VACA PROD.VACIA,UNO,,0,14,12,0,0,0,0,1,0,Rebaño de la Finca,0,2,3,0,,,1997-10-20T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
43,1986-07-16T00:00:00,1995-06-16T00:00:00,VACA VACIA,MESTIZO BRAHMAN,0,BLANCO,,FINCA,CONDICION 3,354,230,330,,,1,-1,0,1995-02-02T00:00:00,0,08-06,VACA VACIA,DOS,,0,11,11,0,0,0,0,1,0,Rebaño de la Finca,0,0,1,0,,,1996-04-16T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
44,1990-07-15T00:00:00,1995-07-05T00:00:00,VACA VACIA,MESTIZO BRAHMAN,0,BLANCO,,FINCA,CONDICION 2,325,230,440,325,,3,363,0,1997-07-14T00:00:00,0,04-10,VACA PROD.VACIA,DESCARTE,,0,11,12,0,0,0,0,1,0,Rebaño de la Finca,0,3,3,0,,,1998-02-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
45,1988-07-16T00:00:00,1995-07-05T00:00:00,VACA VACIA,MESTIZO BRAHMAN,0,BLANCO,,FINCA,CONDICION 2,323,230,330,,,1,0,0,1995-05-16T00:00:00,0,06-10,VACA VACIA,UNO,,0,11,11,0,0,0,0,1,0,Rebaño de la Finca,0,0,1,0,,,1996-04-16T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
