"SERIE","NOMBRE","CODM","NOMBREM","CODP","NOMBREP","PAJU","FNAC","FECR","FECS","TIPO","RAZA","SEXO","COLORBO","COLORPE","COLORMO","OBSER","PROCEDE","ESTADO","PESOI","PRECIO","PPIES","PESACT","FULPES","PESDES","FECDES","NPARTO","DPARTO","NSERVI","FECUA","FECUP","ABORTO","EDADPP","PESOPP","TIPOAP","TIPOPS","LOTE","LPROD","LPAST","LNACI","LTEMP","ASOC1","SERIE1","ASOC2","SERIE2","ASOC3","SERIE3","ULTGDP","COD","CODAP","CODPS","TIPOREGISTRO1","TIPOREGISTRO2","RAZAPADRE","RAZAMADRE","FECNACPADRE","FECNACMADRE","NROREGPADRE1","NROREGPADRE2","NROREGMADRE1","NROREGMADRE2","ASOCPADRE1","ASOCPADRE2","ASOCMADRE1","ASOCMADRE2","TIPOREGPADRE1","TIPOREGPADRE2","TIPOREGMADRE1","TIPOREGMADRE2","CODAINIORD","Pa1","Pa2","Pa3","Pa4","UA","EsPajuelaPadre","Vaquera","Historia","NCRIAS","NPARREPOR","NABOREPOR"
"230033","","","","","","","","","","","","False","","","","","","","","","","437","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"7103185","","","","","","","","","","","","False","","","","","","","","","","470","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220138","","","","","","","","","","","","False","","","","","","","","","","419","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"2100352","","","","","","","","","","","","False","","","","","","","","","","473","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"140001","","","","","","","","","","","","False","","","","","","","","","","427","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"114066","","","","","","","","","","","","False","","","","","","","","","","448","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"7103235","","","","","","","","","","","","False","","","","","","","","","","459","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"113911","","","","","","","","","","","","False","","","","","","","","","","433","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220106","","","","","","","","","","","","False","","","","","","","","","","442","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270057","","","","","","","","","","","","False","","","","","","","","","","474","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220003","","","","","","","","","","","","False","","","","","","","","","","434","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"170015","","","","","","","","","","","","False","","","","","","","","","","422","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"170014","","","","","","","","","","","","False","","","","","","","","","","463","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270910","","","","","","","","","","","","False","","","","","","","","","","438","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220050","","","","","","","","","","","","False","","","","","","","","","","451","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
