"SERIE","TIPO","RAZA","ESTADO","EDAD","NSERVI","TIPOPS","PESPS","FECPS","EDADPS","FECSPR","CODTP","RESPI","TIPOAP","FECUP","EDADPP","FECPAR","SEXO","SEXO1","BECER","BECER1","OBSPAR","EDOBEC","EDOBEC1","RAZABE","PESOIB","PESOIB1","CAUSAB","OBSABO","FECABO","DIAPR","NCELOS","FECPC","EDADPC","FECUC","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","DIAOP","DIAPFO","DIAELA","PRODOP","PRODPFO","FECAS","DIAFOAS","IPARPC","IPARPS","IPARCON","IENTPAR","PENTSER","ISERV","IENTCEL","ACUMN","ACUIA","COD","CODPS","CODAP","MARCABEC1","MARCABEC2","CAUSAnm","OBSERnm","OBSERBEC","OBSERBEC1","CODP","RAZAPADRE","TIPOPADRE","NOMBREPADRE","FECHANACPADRE","ESPAJUELA","Historia","NCICLO","TOROTEMP"
"7635","VACA PREÑADA","MESTIZO BRAHMAN","CONDICION 2","08-03-25","0","","0","","**--6-22","","","","VACA PROD.VACIA","1994-02-06 00:00:00","","1995-09-19 00:00:00","MACHO","","D810-5","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","1994-02-09 00:00:00","","0","0","","210","***","  0","290","0","0","1995-07-15 00:00:00","0","0","0","0"," 19","  0","  0","","00","00","14","","12","","","","","","","","","","","","False","False","",""
"3803","VACA PREÑADA","MESTIZO BRAHMAN","CONDICION 2","02-03-24","0","","0","","**--6-21","","","","VACA VACIA","","02-03-02","1995-09-11 00:00:00","HEMBRA","","D810-0","","_","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","","","0","0","","210","  0","  0","290","0","0","1995-08-14 00:00:00","0","0","0","0","0","  0","  0","","00","00","14","","11","","","","","","","","","","","","False","False","",""
"224","VACA PREÑADA","MESTIZO BRAHMAN","CONDICION 2","07-03-26","0","","0","","**--6-23","","","","VACA VACIA","1994-08-28 00:00:00","","1995-09-06 00:00:00","MACHO","","D809-8","","_","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","1994-08-31 00:00:00","1995-05-15 00:00:00","1682.69","6.55","257","210","***","***","290","0","756.2","1995-06-15 00:00:00"," -31","0","0","0"," 12","  0","  0","","00","00","14","","11","","","","","","","","","","","","False","False","",""
"6514","VACA SECA/HORRA","MESTIZO BRAHMAN","CONDICION 2","09-03-24","0","","0","","**--6-21","","","","VACA VACIA","1994-10-31 00:00:00","","1995-09-13 00:00:00","MACHO","","D810-2","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","1994-11-03 00:00:00","1995-06-14 00:00:00","1483.94","4.62","223","210","***","***","290","0","1080.42","1995-07-15 00:00:00"," -31","0","0","0"," 11","  0","  0","","00","00","15","","11","","","","","","","","","","","","False","False","",""
"579","VACA SECA/HORRA","MESTIZO BRAHMAN","CONDICION 2","05-04-01","0","","0","","**--6-22","","","","VACA VACIA","1994-09-27 00:00:00","","1995-09-19 00:00:00","MACHO","","D810-4","","_","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","1994-09-29 00:00:00","1995-05-15 00:00:00","2069.91","5.73","228","210","***","***","290","0","661.4","1995-08-14 00:00:00"," -91","0","0","0"," 12","  0","  0","","00","00","15","","11","","","","","","","","","","","","False","False","",""
"1566","VACA PREÑADA","MESTIZO BRAHMAN","CONDICION 2","05-03-29","0","","0","","**--6-20","","","","VACA VACIA","","05-03-10","1995-09-20 00:00:00","MACHO","","D810-6","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","","","0","0","","210","  0","  0","290","0","0","1995-08-14 00:00:00","0","0","0","0","0","  0","  0","","00","00","14","","11","","","","","","","","","","","","False","False","",""
"2864","VACA PREÑADA","MESTIZO BRAHMAN","CONDICION 2","03-03-27","0","","0","","**--6-18","","","","","","03-03-10","1995-09-22 00:00:00","MACHO","","D811-1","","COLORADO","","","","0","0","","","",""," 0","","","","","","0","0","","","  0","  0","290","0","0","","   0","0","0","0","0","  0","  0","","00","00","14","","","","","","","","","","","","","","False","False","",""
"3813","VACA PREÑADA","MESTIZO BRAHMAN","CONDICION 2","02-03-27","0","","0","","**--6-18","","","","","","02-03-13","1995-09-25 00:00:00","MACHO","","D811-4","","PINTADO","","","","0","0","","","",""," 0","","","","","","0","0","","","  0","  0","290","0","0","","   0","0","0","0","0","  0","  0","","00","00","14","","","","","","","","","","","","","","False","False","",""
"7013","VACA SECA/HORRA","MESTIZO BRAHMAN","CONDICION 2","10-04-00","0","","0","","**--6-21","","","","VACA VACIA","1994-11-17 00:00:00","","1995-09-26 00:00:00","MACHO","","D811-5","","COLORADO","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","1994-11-20 00:00:00","1995-07-26 00:00:00","2144.35","7.05","248","210","***","***","290","0","1328.8","1995-08-14 00:00:00"," -19","0","0","0"," 10","  0","  0","","00","00","15","","11","","","","","","","","","","","","False","False","",""
"8581","VACA PREÑADA","MESTIZO BRAHMAN","CONDICION 2","07-04-01","0","","0","","**--6-22","","","","","1994-09-18 00:00:00","","1995-09-26 00:00:00","MACHO","","D811-6","","COLORADO","CONDICION 2","","MESTIZO BRAHMAN","0","0","","","",""," 0","","","","1994-09-18 00:00:00","1995-05-15 00:00:00","2631.35","7.07","239","","***","***","290","0","871.6","1995-07-05 00:00:00"," -51","0","0","0"," 12","  0","  0","","00","00","14","","","","","","","","","","","","","","False","False","",""
