"SERIE","FECS","MOTIVO","DESTINO","PESOS","INGBS","OBSER"
"   710","2013-04-19 00:00:00","OTROS","GARROVAL","509","0","TRANSFERENCIA AUTOMATICA A LA FINCA GARROVAL"
"   722","2013-04-19 00:00:00","OTROS","GARROVAL","429","0","TRANSFERENCIA AUTOMATICA A LA FINCA GARROVAL"
"003rs-b","2013-04-19 00:00:00","OTROS","GARROVAL","30","0","TRANSFERENCIA AUTOMATICA A LA FINCA GARROVAL"
"    13","2014-11-27 00:00:00","Muerte","","0","0","REPORTADA POR LUIS GAMARRA "
"    16","2018-06-23 00:00:00","Muerte","MAT.CARACAS","100","0",""
"   2526","2018-06-25 00:00:00","Venta","MAT. CALABOZO","300","0",""
"2526","2018-06-25 00:00:00","Venta","MAT.CARACAS","300","0",""
"   668","2018-07-01 00:00:00","Venta","MAT.CARACAS","0","0",""
"   243","2000-06-05 00:00:00","OTROS","CAÑO NEGRO","450","0","TRANSFERENCIA AUTOMATICA A LA FINCA CAÑO NEGRO"
"001","1997-09-15 00:00:00","VENTA","MAT.CARACAS","588","297003","5-97      HORRO"
"002","1996-08-31 00:00:00","MUERTE","PICADA","0","0",""
"003","1998-10-27 00:00:00","Venta","MAT-TUY","520","411095","3-98 3-97 7-97"
"008G","2000-09-28 00:00:00","OTROS","NUEVA","30","0","TRANSFERENCIA AUTOMATICA A LA FINCA NUEVA"
"011SA","2000-09-28 00:00:00","OTROS","NUEVA","0","0","TRANSFERENCIA AUTOMATICA A LA FINCA NUEVA"
"020","2000-06-16 00:00:00","Muerte","","0","0",""
"0201","2000-05-31 00:00:00","OTROS","CAÑO NEGRO","600","0","TRANSFERENCIA AUTOMATICA A LA FINCA CAÑO NEGRO"
"022","2000-06-16 00:00:00","Muerte","","0","0",""
"023","2000-09-28 00:00:00","OTROS","EMPRESAS D&H","0","0","TRANSFERENCIA AUTOMATICA A LA FINCA EMPRESAS D&H"
"023SA","2000-10-05 00:00:00","OTROS","Marilin","0","0","TRANSFERENCIA AUTOMATICA A LA FINCA Marilin"
"026","2000-09-28 00:00:00","OTROS","RB15","0","0","TRANSFERENCIA AUTOMATICA A LA FINCA RB15"
"05","1990-04-07 00:00:00","Histor","","0","0",""
"0581","1996-07-31 00:00:00","VENTA","MAT.CARACAS","886","233777.77","5-96"
"0583","1995-07-25 00:00:00","VENTA","MATADERO","840","276158",""
"0586","1996-07-31 00:00:00","VENTA","MAT.CARACAS","890","233777.77","5-96"
"07","1988-12-01 00:00:00","Histor","","0","0",""
"1","1996-08-07 00:00:00","VENTA","MAT.CARACAS","498","163755",""
"113","1998-04-15 00:00:00","OTROS","SACRIFICADA","0","0","2-97 3-97"
"114","2000-06-16 00:00:00","Muerte","","0","0",""
"123/8","1993-01-01 00:00:00","Histor","","0","0",""
"14","1996-11-06 00:00:00","VENTA","MAT.CARACAS","530","172800","     10-96"
"147","1997-08-13 00:00:00","VENTA","MAT.CARACAS","570","194375.63","5-97 3-97"
"1511","1997-11-19 00:00:00","VENTA","MAT.CARACAS","468","234704","2-97 3-97"
"1512","","","","0","0","8-98 4-98"
"1524","1997-11-19 00:00:00","VENTA","MAT.CARACAS","450","234704","2-97 3-97"
"1527","1998-08-31 00:00:00","VENTA","MAT.CCS","448","271958","8-98 4-98"
"1529","","","","0","0","8-98 4-98"
"1530","1995-05-25 00:00:00","VENTA","MATADERO CCS","468","110609",""
"1539","1999-03-17 00:00:00","Venta","MAT.CARACAS","620","300660","8-98 4-98"
"1541","1997-12-11 00:00:00","VENTA","MAT.VALENCIA","462","210235","2-97 3-97"
