"SERIE","FECHA","LTAM","LTPM","LOTE","DIFDIA","LactanciaParcial","LactanciaAcumulada","DiasAcumulados","PromedioAcumulado","LactanciaAjustada","LactanciaEstimada","IndiceLechero","IndiceLecheroAjustado","Pario","LTTOTAL"
"1","1995-01-05 00:00:00","3.5","0","LOTE 6","0","3.5","3.5","0","0","0","0","0","0","False","3.5"
"1","1995-01-12 00:00:00","4.6","0","LOTE 5","0","32.2","35.7","0","0","0","0","0","0","False","4.6"
"1","1995-01-19 00:00:00","5.2","0","LOTE 5","0","36.4","72.1","0","0","0","0","0","0","False","5.2"
"1","1995-01-26 00:00:00","8.15","0","l1","0","57.05","129.15","0","0","0","0","0","0","False","8.15"
"58","1995-01-12 00:00:00","9","0","l1","0","9","9","0","0","0","0","0","0","False","9"
"58","1995-01-19 00:00:00","7.9","0","l1","0","55.3","64.3","0","0","0","0","0","0","False","7.9"
"58","1995-01-26 00:00:00","8.2","0","l1","0","57.4","121.7","0","0","0","0","0","0","False","8.2"
"812","1995-01-05 00:00:00","7.4","0","l1","0","7.4","7.4","0","0","0","0","0","0","False","7.4"
"812","1995-01-12 00:00:00","7.3","0","l1","0","51.1","58.5","0","0","0","0","0","0","False","7.3"
"812","1995-01-19 00:00:00","7","0","l1","0","49","107.5","0","0","0","0","0","0","False","7"
"812","1995-01-26 00:00:00","5.8","0","l1","0","40.6","148.1","0","0","0","0","0","0","False","5.8"
"7512","1995-01-05 00:00:00","7.9","0","l1","0","7.9","7.9","0","0","0","0","0","0","False","7.9"
"7512","1995-01-12 00:00:00","7.85","0","l1","0","54.95","62.85","0","0","0","0","0","0","False","7.85"
"7512","1995-01-19 00:00:00","7.5","0","l1","0","52.5","115.35","0","0","0","0","0","0","False","7.5"
"7512","1995-01-26 00:00:00","8.9","0","l1","0","62.3","177.65","0","0","0","0","0","0","False","8.9"
"8539","1995-01-05 00:00:00","5.3","0","LOTE 5","0","5.3","5.3","0","0","0","0","0","0","False","5.3"
"8539","1995-01-12 00:00:00","6","0","l1","0","42","47.3","0","0","0","0","0","0","False","6"
"8539","1995-01-19 00:00:00","5.4","0","LOTE 5","0","37.8","85.1","0","0","0","0","0","0","False","5.4"
"8539","1995-01-26 00:00:00","5.2","0","LOTE 5","0","36.4","121.5","0","0","0","0","0","0","False","5.2"
"9518","1995-01-05 00:00:00","1.8","0","LOTE 7","0","1.8","1.8","0","0","0","0","0","0","False","1.8"
"9518","1995-01-12 00:00:00","3.3","0","LOTE 6","0","23.1","24.9","0","0","0","0","0","0","False","3.3"
"9518","1995-01-19 00:00:00","6","0","l1","0","42","66.9","0","0","0","0","0","0","False","6"
"9518","1995-01-26 00:00:00","1.8","0","LOTE 7","0","12.6","79.5","0","0","0","0","0","0","False","1.8"
"9566","1995-01-05 00:00:00","4.4","0","LOTE 5","0","4.4","4.4","0","0","0","0","0","0","False","4.4"
"9566","1995-01-12 00:00:00","4.4","0","LOTE 5","0","30.8","35.2","0","0","0","0","0","0","False","4.4"
"9566","1995-01-19 00:00:00","4.35","0","LOTE 5","0","30.45","65.65","0","0","0","0","0","0","False","4.35"
"9566","1995-01-26 00:00:00","5.1","0","LOTE 5","0","35.7","101.35","0","0","0","0","0","0","False","5.1"
"1","1995-02-01 00:00:00","6.8","0","l1","0","40.8","169.95","0","0","0","0","0","0","False","6.8"
"1","1995-02-08 00:00:00","6.8","0","l1","0","47.6","217.55","0","0","0","0","0","0","False","6.8"
"1","1995-02-15 00:00:00","3.4","0","LOTE 6","0","23.8","241.35","0","0","0","0","0","0","False","3.4"
"1","1995-02-22 00:00:00","4","0","LOTE 5","0","28","269.35","0","0","0","0","0","0","False","4"
"58","1995-02-01 00:00:00","6.8","0","l1","0","40.8","162.5","0","0","0","0","0","0","False","6.8"
"58","1995-02-08 00:00:00","6.3","0","l1","0","44.1","206.6","0","0","0","0","0","0","False","6.3"
"58","1995-02-15 00:00:00","6.5","0","l1","0","45.5","252.1","0","0","0","0","0","0","False","6.5"
"58","1995-02-22 00:00:00","4.5","0","LOTE 5","0","31.5","283.6","0","0","0","0","0","0","False","4.5"
"7512","1995-02-01 00:00:00","8.1","0","l1","0","48.6","226.25","0","0","0","0","0","0","False","8.1"
"7512","1995-02-08 00:00:00","7.2","0","l1","0","50.4","276.65","0","0","0","0","0","0","False","7.2"
"7512","1995-02-15 00:00:00","6.3","0","l1","0","44.1","320.75","0","0","0","0","0","0","False","6.3"
"7512","1995-02-22 00:00:00","4.6","0","LOTE 5","0","32.2","352.95","0","0","0","0","0","0","False","4.6"
"9566","1995-02-01 00:00:00","4","0","LOTE 5","0","24","125.35","0","0","0","0","0","0","False","4"
"9566","1995-02-15 00:00:00","3.2","0","LOTE 6","0","44.8","170.15","0","0","0","0","0","0","False","3.2"
"9566","1995-02-22 00:00:00","3.5","0","LOTE 6","0","24.5","194.65","0","0","0","0","0","0","False","3.5"
"812","1995-02-01 00:00:00","5.6","0","l1","0","33.6","181.7","0","0","0","0","0","0","False","5.6"
"812","1995-02-08 00:00:00","6.8","0","l1","0","47.6","229.3","0","0","0","0","0","0","False","6.8"
"812","1995-02-15 00:00:00","11.7","0","LOTE 2","0","81.9","311.2","0","0","0","0","0","0","False","11.7"
"8539","1995-02-01 00:00:00","4.4","0","LOTE 5","0","26.4","147.9","0","0","0","0","0","0","False","4.4"
"8539","1995-02-08 00:00:00","5","0","LOTE 5","0","35","182.9","0","0","0","0","0","0","False","5"
"8539","1995-02-15 00:00:00","3.4","0","LOTE 6","0","23.8","206.7","0","0","0","0","0","0","False","3.4"
"8539","1995-02-22 00:00:00","3.5","0","LOTE 6","0","24.5","231.2","0","0","0","0","0","0","False","3.5"
"1","1995-03-01 00:00:00","5.4","0","LOTE 5","0","37.8","307.15","0","0","0","0","0","0","False","5.4"
"1","1995-03-08 00:00:00","4.4","0","LOTE 5","0","30.8","337.95","0","0","0","0","0","0","False","4.4"
"1","1995-03-15 00:00:00","3.1","0","LOTE 6","0","21.7","359.65","0","0","0","0","0","0","False","3.1"
"1","1995-03-22 00:00:00","4.3","0","LOTE 5","0","30.1","389.75","0","0","0","0","0","0","False","4.3"
"58","1995-03-01 00:00:00","5","0","LOTE 5","0","35","318.6","0","0","0","0","0","0","False","5"
"58","1995-03-08 00:00:00","6","0","l1","0","42","360.6","0","0","0","0","0","0","False","6"
"58","1995-03-15 00:00:00","6.8","0","l1","0","47.6","408.2","0","0","0","0","0","0","False","6.8"
"58","1995-03-22 00:00:00","6.3","0","l1","0","44.1","452.3","0","0","0","0","0","0","False","6.3"
"812","1995-03-01 00:00:00","4.5","0","LOTE 5","0","63","374.2","0","0","0","0","0","0","False","4.5"
"812","1995-03-08 00:00:00","5.3","0","LOTE 5","0","37.1","411.3","0","0","0","0","0","0","False","5.3"
"812","1995-03-15 00:00:00","5.7","0","l1","0","39.9","451.2","0","0","0","0","0","0","False","5.7"
"812","1995-03-22 00:00:00","5","0","LOTE 5","0","35","486.2","0","0","0","0","0","0","False","5"
"7512","1995-03-01 00:00:00","6","0","l1","0","42","394.95","0","0","0","0","0","0","False","6"
"7512","1995-03-08 00:00:00","5","0","LOTE 5","0","35","429.95","0","0","0","0","0","0","False","5"
"7512","1995-03-15 00:00:00","6","0","l1","0","42","471.95","0","0","0","0","0","0","False","6"
"7512","1995-03-22 00:00:00","6","0","l1","0","42","513.95","0","0","0","0","0","0","False","6"
"8539","1995-03-01 00:00:00","2","0","LOTE 6","0","14","245.2","0","0","0","0","0","0","False","2"
"8539","1995-03-08 00:00:00","2.7","0","LOTE 6","0","18.9","264.1","0","0","0","0","0","0","False","2.7"
"8539","1995-03-15 00:00:00","3.2","0","LOTE 6","0","22.4","286.5","0","0","0","0","0","0","False","3.2"
"9566","1995-03-01 00:00:00","3.1","0","LOTE 6","0","21.7","216.35","0","0","0","0","0","0","False","3.1"
"9566","1995-03-08 00:00:00","3","0","LOTE 6","0","21","237.35","0","0","0","0","0","0","False","3"
"9566","1995-03-22 00:00:00","3.9","0","LOTE 6","0","54.6","291.95","0","0","0","0","0","0","False","3.9"
"1","1995-04-01 00:00:00","4.5","0","LOTE 5","0","45","434.75","0","0","0","0","0","0","False","4.5"
"1","1995-04-08 00:00:00","4.5","0","LOTE 5","0","31.5","466.25","0","0","0","0","0","0","False","4.5"
"1","1995-04-15 00:00:00","5","0","LOTE 5","0","35","501.25","0","0","0","0","0","0","False","5"
"1","1995-04-22 00:00:00","2.6","0","LOTE 6","0","18.2","519.45","0","0","0","0","0","0","False","2.6"
"1","1995-04-29 00:00:00","5","0","LOTE 5","0","35","554.45","0","0","0","0","0","0","False","5"
"58","1995-04-01 00:00:00","5","0","LOTE 5","0","50","502.3","0","0","0","0","0","0","False","5"
"58","1995-04-08 00:00:00","5.2","0","LOTE 5","0","36.4","538.7","0","0","0","0","0","0","False","5.2"
"58","1995-04-15 00:00:00","5","0","LOTE 5","0","35","573.7","0","0","0","0","0","0","False","5"
"58","1995-04-22 00:00:00","5","0","LOTE 5","0","35","608.7","0","0","0","0","0","0","False","5"
"58","1995-04-29 00:00:00","5.3","0","LOTE 5","0","37.1","645.8","0","0","0","0","0","0","False","5.3"
"7512","1995-04-01 00:00:00","5","0","LOTE 5","0","50","563.95","0","0","0","0","0","0","False","5"
"7512","1995-04-08 00:00:00","5.5","0","l1","0","38.5","602.45","0","0","0","0","0","0","False","5.5"
"7512","1995-04-15 00:00:00","5","0","LOTE 5","0","35","637.45","0","0","0","0","0","0","False","5"
"7512","1995-04-22 00:00:00","6.3","0","l1","0","44.1","681.55","0","0","0","0","0","0","False","6.3"
"7512","1995-04-29 00:00:00","5.7","0","l1","0","39.9","721.45","0","0","0","0","0","0","False","5.7"
"1","1995-05-04 00:00:00","3.5","0","LOTE 6","0","17.5","571.95","0","0","0","0","0","0","False","3.5"
"1","1995-05-11 00:00:00","4","0","LOTE 5","0","28","599.95","0","0","0","0","0","0","False","4"
"1","1995-05-18 00:00:00","5.3","0","LOTE 5","0","37.1","637.05","0","0","0","0","0","0","False","5.3"
"1","1995-05-25 00:00:00","2.8","0","LOTE 6","0","19.6","656.65","0","0","0","0","0","0","False","2.8"
"58","1995-05-04 00:00:00","3.5","0","LOTE 6","0","17.5","663.3","0","0","0","0","0","0","False","3.5"
"58","1995-05-11 00:00:00","4.2","0","LOTE 5","0","29.4","692.7","0","0","0","0","0","0","False","4.2"
"58","1995-05-18 00:00:00","3.1","0","LOTE 6","0","21.7","714.4","0","0","0","0","0","0","False","3.1"
"58","1995-05-25 00:00:00","3.2","0","LOTE 6","0","22.4","736.8","0","0","0","0","0","0","False","3.2"
"7512","1995-05-04 00:00:00","6.7","0","l1","0","33.5","754.95","0","0","0","0","0","0","False","6.7"
"7512","1995-05-11 00:00:00","5.2","0","LOTE 5","0","36.4","791.35","0","0","0","0","0","0","False","5.2"
"7512","1995-05-18 00:00:00","5.7","0","l1","0","39.9","831.25","0","0","0","0","0","0","False","5.7"
"7512","1995-05-25 00:00:00","4.4","0","LOTE 5","0","30.8","862.05","0","0","0","0","0","0","False","4.4"
"1","1995-06-07 00:00:00","3.6","0","LOTE 6","0","46.8","703.45","0","0","0","0","0","0","False","3.6"
"1","1995-06-14 00:00:00","1","0","LOTE 7","0","7","710.45","0","0","0","0","0","0","False","1"
"58","1995-06-07 00:00:00","3.8","0","LOTE 6","0","49.4","786.2","0","0","0","0","0","0","False","3.8"
"58","1995-06-14 00:00:00","2.5","0","LOTE 6","0","17.5","803.7","0","0","0","0","0","0","False","2.5"
"7512","1995-06-07 00:00:00","5.4","0","LOTE 5","0","70.2","932.25","0","0","0","0","0","0","False","5.4"
"7512","1995-06-14 00:00:00","4.7","0","LOTE 5","0","32.9","965.15","0","0","0","0","0","0","False","4.7"
"58","1995-08-19 00:00:00","1.2","0","LOTE 7","0","43.758","900.558","0","0","0","0","0","0","False","1.2"
"9518","1995-08-19 00:00:00","4.9","0","LOTE 5","0","661.295833333333","740.795833333333","0","0","0","0","0","0","False","4.9"
"9566","1995-08-19 00:00:00","7.5","0","l1","0","273.4875","979.016166666667","0","0","0","0","0","0","False","7.5"
"9566","1995-08-26 00:00:00","6.9","0","l1","0","48.3","1027.31616666667","0","0","0","0","0","0","False","6.9"
"9518","1995-08-26 00:00:00","5.3","0","LOTE 5","0","37.1","777.895833333333","0","0","0","0","0","0","False","5.3"
"58","1995-07-04 00:00:00","1.85","0","LOTE 7","0","37","840.7","0","0","0","0","0","0","False","1.85"
"9566","1995-07-04 00:00:00","4.55","0","LOTE 5","0","391.178666666667","683.128666666667","0","0","0","0","0","0","False","4.55"
"58","1995-07-11 00:00:00","2.3","0","LOTE 6","0","16.1","856.8","0","0","0","0","0","0","False","2.3"
"9566","1995-07-11 00:00:00","3.2","0","LOTE 6","0","22.4","705.528666666667","0","0","0","0","0","0","False","3.2"
"9518","1995-08-29 00:00:00","6.5","0","l1","0","19.5","797.395833333333","0","0","0","0","0","0","False","6.5"
"9566","1995-08-29 00:00:00","6.9","0","l1","0","20.7","1048.01616666667","0","0","0","0","0","0","False","6.9"
"9518","1995-09-06 00:00:00","4.8","0","LOTE 5","0","38.4","835.795833333333","0","0","0","0","0","0","False","4.8"
"9566","1995-09-06 00:00:00","3.3","0","LOTE 6","0","26.4","1074.41616666667","0","0","0","0","0","0","False","3.3"
"9518","1995-09-12 00:00:00","4.5","0","LOTE 5","0","27","862.795833333333","0","0","0","0","0","0","False","4.5"
"9566","1995-09-12 00:00:00","4.2","0","LOTE 5","0","25.2","1099.61616666667","0","0","0","0","0","0","False","4.2"
"14","1995-09-27 00:00:00","3","0","LOTE 6","0","3","3","0","0","0","0","0","0","False","3"
"14","1995-10-04 00:00:00","4.5","0","LOTE 5","0","31.5","34.5","0","0","0","0","0","0","False","4.5"
"812","1995-10-04 00:00:00","1","0","LOTE 7","0","131.973333333333","618.173333333333","0","0","0","0","0","0","False","1"
"9518","1995-10-04 00:00:00","3","0","LOTE 6","0","21","913.795833333333","0","0","0","0","0","0","False","3"
