"SERIE","FECHA","LTAM","LTPM","LOTE","DIFDIA","LactanciaParcial","LactanciaAcumulada","DiasAcumulados","PromedioAcumulado","LactanciaAjustada","LactanciaEstimada","IndiceLechero","IndiceLecheroAjustado","Pario","LTTOTAL","Historia","NCICLO"
"114","1998-01-03 00:00:00","10.3","0","LOTE 2","0","10.3","10.3","0","0","0","0","0","0","False","10.3","False",""
"114","1998-01-15 00:00:00","5.7","0","LOTE 5","0","68.4","78.7","0","0","0","0","0","0","False","5.7","False",""
"114","1998-01-23 00:00:00","7.1","0","LOTE 4","0","56.8","135.5","0","0","0","0","0","0","False","7.1","False",""
"114","1998-01-31 00:00:00","5.6","0","LOTE 5","0","44.8","180.3","0","0","0","0","0","0","False","5.6","False",""
"114","1998-02-03 00:00:00","6.4","0","LOTE 4","0","19.2","199.5","0","0","0","0","0","0","False","6.4","False",""
"114","1998-02-24 00:00:00","2","0","LOTE 6","0","42","241.5","0","0","0","0","0","0","False","2","False",""
"114","1998-05-14 00:00:00","7.2","0","LOTE 4","0","493.908","735.408","0","0","0","0","0","0","False","7.2","False",""
"2801","1999-06-28 00:00:00","0","0","","36339","0","297.1","529","0.561625708884688","84.2438563327032","174.103969754253","0.620250521920668","0.17587443910794","False","0","False",""
"2801","1998-01-15 00:00:00","5.7","0","LOTE 5","0","5.7","5.7","0","0","0","0","0","0","False","5.7","False",""
"2801","1998-01-23 00:00:00","6.6","0","LOTE 4","0","52.8","58.5","0","0","0","0","0","0","False","6.6","False",""
"2801","1998-01-31 00:00:00","7.4","0","LOTE 4","0","59.2","117.7","0","0","0","0","0","0","False","7.4","False",""
"2801","1998-02-03 00:00:00","8","0","LOTE 3","0","24","141.7","0","0","0","0","0","0","False","8","False",""
"2801","1998-02-24 00:00:00","7.4","0","LOTE 4","0","155.4","297.1","0","0","0","0","0","0","False","7.4","False",""
"1529","1999-11-02 00:00:00","6","0","","36466","-1110973.156","3432.45983333333","346","9.92040414258189","1488.06062138728","3075.32528420038","4.93879112709832","2.14109441926228","False","6","False",""
"1529","1998-11-21 00:00:00","5.6","0","","0","729.110666666667","1687.38016666667","0","0","0","0","0","0","True","5.6","False",""
"1529","1999-05-06 00:00:00","6.2","0","","6","37.2","2644.86983333333","166","15.9329508032128","0","4939.21474899598","0","0","True","6.2","False",""
"1529","1997-11-21 00:00:00","6.1","0","LOTE 4","0","6.1","6.1","0","0","0","0","0","0","False","6.1","False",""
"1529","1997-11-25 00:00:00","4.4","0","LOTE 5","0","17.6","23.7","0","0","0","0","0","0","False","4.4","False",""
"1529","1997-12-04 00:00:00","5.8","0","LOTE 5","0","52.2","75.9","0","0","0","0","0","0","False","5.8","False",""
"1529","1997-12-18 00:00:00","5","0","LOTE 5","0","70","145.9","0","0","0","0","0","0","False","5","False",""
"1529","1999-01-09 00:00:00","6.2","0","","49","278.989666666667","1966.36983333333","49","40.1299965986395","0","12440.2989455782","0","0","True","6.2","False",""
"1529","1998-01-03 00:00:00","7.9","0","LOTE 4","0","126.4","272.3","0","0","0","0","0","0","False","7.9","False",""
"1529","1998-01-15 00:00:00","5.6","0","LOTE 5","0","67.2","339.5","0","0","0","0","0","0","False","5.6","False",""
"1529","1998-01-23 00:00:00","5.1","0","LOTE 5","0","40.8","380.3","0","0","0","0","0","0","False","5.1","False",""
"1529","1998-01-31 00:00:00","4.8","0","LOTE 5","0","38.4","418.7","0","0","0","0","0","0","False","4.8","False",""
"1529","1999-01-29 00:00:00","5.6","0","","20","112","2078.36983333333","69","30.1213019323671","0","9337.60359903382","0","0","True","5.6","False",""
"1529","1998-02-03 00:00:00","3.6","0","LOTE 6","0","10.8","429.5","0","0","0","0","0","0","False","3.6","False",""
"1529","1998-02-24 00:00:00","4.6","0","LOTE 5","0","96.6","526.1","0","0","0","0","0","0","False","4.6","False",""
"1529","1998-05-14 00:00:00","6.3","0","LOTE 4","0","432.1695","958.2695","0","0","0","0","0","0","False","6.3","False",""
"1529","1999-02-05 00:00:00","7.5","0","","7","52.5","2130.86983333333","76","28.0377609649123","0","8691.70589912281","0","0","True","7.5","False",""
"1529","1999-02-13 00:00:00","6","0","","8","48","2178.86983333333","84","25.9389265873016","0","8041.06724206349","0","0","True","6","False",""
"1529","1999-02-20 00:00:00","6","0","","7","42","2220.86983333333","91","24.405163003663","0","7565.60053113553","0","0","True","6","False",""
"1529","1999-02-27 00:00:00","6.2","0","","7","43.4","2264.26983333333","98","23.1047942176871","0","7162.48620748299","0","0","True","6.2","False",""
"1529","1999-03-13 00:00:00","5.8","0","","14","81.2","2345.46983333333","112","20.9416949404762","0","6491.92543154762","0","0","True","5.8","False",""
"1529","1999-04-15 00:00:00","4.5","0","","8","36","2538.76983333333","145","17.5087574712644","0","5427.71481609195","0","0","True","4.5","False",""
"1529","1999-03-19 00:00:00","6","0","","6","36","2381.46983333333","118","20.181947740113","0","6256.40379943503","0","0","True","6","False",""
"1529","1999-03-26 00:00:00","6.1","0","","7","42.7","2424.16983333333","125","19.3933586666667","0","6011.94118666667","0","0","True","6.1","False",""
"1529","1999-04-01 00:00:00","6.5","0","","6","39","2463.16983333333","131","18.8028231552163","0","5828.87517811705","0","0","True","6.5","False",""
"1529","1999-05-15 00:00:00","6","0","","9","54","2698.86983333333","175","15.4221133333333","0","4780.85513333333","0","0","True","6","False",""
"1529","1999-04-07 00:00:00","6.6","0","","6","39.6","2502.76983333333","137","18.2683929440389","0","5663.20181265207","0","0","True","6.6","False",""
"1529","1999-04-22 00:00:00","4.7","0","","7","32.9","2571.66983333333","152","16.9188804824561","0","5244.8529495614","0","0","True","4.7","False",""
"1529","1999-04-30 00:00:00","4.5","0","","8","36","2607.66983333333","160","16.2979364583333","0","5052.36030208333","0","0","True","4.5","False",""
"1512","2000-01-13 00:00:00","3","4","","243","1012.095","2048.85","471","4.35","652.5","1348.5","5.40593667546174","1.72163588390501","False","7","False",""
"1512","2000-01-31 00:00:00","5","0","","36556","-930837.613333333","2138.85","489","4.3739263803681","656.088957055215","1355.91717791411","5.6434036939314","1.73110542758632","False","5","False",""
"1512","1998-09-29 00:00:00","3","0","","0","3","3","0","0","0","0","0","0","True","3","False",""
"1512","1999-05-06 00:00:00","7","0","","219","973.455","976.455","219","4.45869863013699","0","1382.19657534247","2.57639841688654","0","False","7","False",""
"1512","1999-05-15 00:00:00","6.7","0","","9","60.3","1036.755","228","4.54717105263158","0","1409.62302631579","2.73550131926121","0","False","6.7","False",""
"   5/2","2000-02-18 00:00:00","2","0","","0","2","2","0","0","0","0","0","0","True","2","False",""
"   5/2","2000-02-19 00:00:00","3","0","","1","3","5","1","5","750","1550","0","0","True","3","False",""
"   5/2","2000-04-18 00:00:00","4","0","","36634","-748163.970666667","217.793333333333","60","3.62988888888889","544.483333333333","1125.26555555556","0","0","True","4","False",""
"003JB","2000-02-18 00:00:00","5","0","","0","5","5","0","0","0","0","0","0","True","5","False",""
"003JB","2000-02-19 00:00:00","3","0","","1","3","8","1","8","1200","2480","0","0","True","3","False",""
"003JB","2000-04-18 00:00:00","4","0","","36634","124","216","60","3.6","540","1116","0","0","True","4","False",""
"003JB","2000-03-18 00:00:00","3","0","","28","84","92","29","3.17241379310345","475.862068965517","983.448275862069","0","0","True","3","False",""
"D6028","1998-05-14 00:00:00","5.2","0","LOTE 5","0","5.2","5.2","0","0","0","0","0","0","False","5.2","False",""
"D6028","1999-02-28 00:00:00","4","0","","36219","-729667.974","604.533333333333","290","2.08459770114943","312.689655172414","646.225287356322","0","0","True","4","False",""
"1602","2000-01-13 00:00:00","5","2","","243","1012.095","1994.7325","404","4.93745668316832","740.618502475247","1530.61157178218","0","0","True","7","False",""
"1602","1998-12-05 00:00:00","8.5","0","","0","8.5","8.5","0","0","0","0","0","0","True","8.5","False",""
"1602","1999-05-06 00:00:00","6","0","","6","36","926.8375","152","6.09761513157895","0","1890.26069078947","0","0","True","6","False",""
"1602","1999-01-09 00:00:00","6.3","0","","35","207.6375","216.1375","35","6.17535714285714","0","1914.36071428571","0","0","True","6.3","False",""
"1602","1999-01-29 00:00:00","6","0","","20","120","336.1375","55","6.11159090909091","0","1894.59318181818","0","0","True","6","False",""
"1602","2000-02-13 00:00:00","3","0","","36569","-558938.8805","2087.7325","435","4.79938505747126","719.907758620689","1487.80936781609","0","0","True","3","False",""
"1602","1999-02-05 00:00:00","5.2","0","","7","36.4","372.5375","62","6.00866935483871","0","1862.6875","0","0","True","5.2","False",""
"1602","1999-02-13 00:00:00","6.2","0","","8","49.6","422.1375","70","6.03053571428571","0","1869.46607142857","0","0","True","6.2","False",""
"1602","1999-02-20 00:00:00","6.4","0","","7","44.8","466.9375","77","6.06412337662338","0","1879.87824675325","0","0","True","6.4","False",""
"1602","1999-02-27 00:00:00","7.2","0","","7","50.4","517.3375","84","6.15877976190476","0","1909.22172619048","0","0","True","7.2","False",""
"1602","1999-03-13 00:00:00","7.2","0","","14","100.8","618.1375","98","6.30752551020408","0","1955.33290816327","0","0","True","7.2","False",""
"1602","1999-03-19 00:00:00","6.3","0","","6","37.8","655.9375","104","6.30709134615384","0","1955.19831730769","0","0","True","6.3","False",""
"1602","1999-03-26 00:00:00","6.5","0","","7","45.5","701.4375","111","6.31925675675676","0","1958.96959459459","0","0","True","6.5","False",""
"1602","1999-04-01 00:00:00","6","0","","6","36","737.4375","117","6.30288461538461","0","1953.89423076923","0","0","True","6","False",""
"1602","1999-04-07 00:00:00","6","0","","6","36","773.4375","123","6.28810975609756","0","1949.31402439024","0","0","True","6","False",""
"1602","1999-04-15 00:00:00","5.1","0","","8","40.8","814.2375","131","6.2155534351145","0","1926.8215648855","0","0","True","5.1","False",""
"1602","1999-05-15 00:00:00","6.2","0","","9","55.8","982.6375","161","6.10333850931677","0","1892.0349378882","0","0","True","6.2","False",""
"1602","1999-04-22 00:00:00","5","0","","7","35","849.2375","138","6.15389492753623","0","1907.70742753623","0","0","True","5","False",""
"1602","1999-04-30 00:00:00","5.2","0","","8","41.6","890.8375","146","6.10162671232877","0","1891.50428082192","0","0","True","5.2","False",""
"2808","2000-01-13 00:00:00","5","2","","243","1012.095","2523.1755","432","5.84068402777778","876.102604166667","1810.61204861111","0","0","True","7","False",""
"2808","1998-11-07 00:00:00","5","0","","0","5","5","0","0","0","0","0","0","True","5","False",""
"2808","2000-02-13 00:00:00","3","0","","36569","-558938.8805","2616.1755","463","5.65048704103672","847.573056155507","1751.65098272138","0","0","True","3","False",""
"2808","1999-01-09 00:00:00","9.3","0","","63","524.3805","529.3805","63","8.40286507936508","0","2604.88817460317","0","0","True","9.3","False",""
"2808","1999-05-06 00:00:00","6","0","","6","36","1456.1805","180","8.08989166666667","0","2507.86641666667","0","0","True","6","False",""
"2808","1999-01-29 00:00:00","10.1","0","","20","202","731.3805","83","8.81181325301205","0","2731.66210843374","0","0","True","10.1","False",""
"2808","1999-02-05 00:00:00","8.9","0","","7","62.3","793.6805","90","8.81867222222222","0","2733.78838888889","0","0","True","8.9","False",""
"2808","1999-02-13 00:00:00","8.5","0","","8","68","861.6805","98","8.79265816326531","0","2725.72403061224","0","0","True","8.5","False",""
"2808","1999-02-20 00:00:00","8.4","0","","7","58.8","920.4805","105","8.76648095238095","0","2717.6090952381","0","0","True","8.4","False",""
"2808","1999-02-27 00:00:00","8","0","","7","56","976.4805","112","8.71857589285714","0","2702.75852678571","0","0","True","8","False",""
"2808","1999-03-13 00:00:00","7.6","0","","14","106.4","1082.8805","126","8.59428968253968","0","2664.2298015873","0","0","True","7.6","False",""
"2808","1999-03-19 00:00:00","8.3","0","","6","49.8","1132.6805","132","8.58091287878788","0","2660.08299242424","0","0","True","8.3","False",""
"2808","1999-03-26 00:00:00","8.5","0","","7","59.5","1192.1805","139","8.5768381294964","0","2658.81982014388","0","0","True","8.5","False",""
"2808","1999-04-01 00:00:00","8.5","0","","6","51","1243.1805","145","8.57365862068965","0","2657.83417241379","0","0","True","8.5","False",""
