"SERIE","LOTE","FINIM","TIEMP","FFINM","TIPOE","TIPOS","CODE","CODS"
"   621","LOTE 1 - 2011","2011-09-10 00:00:00","","2011-12-10 00:00:00","VACA PROD.VACIA","","12",""
"   702","LOTE 1 - 2011","2011-09-10 00:00:00","","2011-12-10 00:00:00","VACA PROD.VACIA","VACA PREÑADA","12","14"
"243","LOTE 1 - 2011","2011-09-10 00:00:00","","2011-12-10 00:00:00","TORO PADROTE","","09",""
"299","LOTE 1 - 2011","2011-09-10 00:00:00","","2011-12-10 00:00:00","TORO PADROTE","","09",""
"00/74","LOTE TRES","2015-05-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"00/73","LOTE TRES","2015-05-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"003JB","LOTE TRES","2015-05-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"007","LOTE TRES","2015-05-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"015G","LOTE TRES","2015-05-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"015SA","LOTE TRES","2015-05-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"    13","PRIMER LOTE ","2014-03-01 00:00:00","","","VACA VACIA","","11",""
"   668","PRIMER LOTE ","2014-03-01 00:00:00","","","VACA PROD.VACIA","","12",""
"   684","PRIMER LOTE ","2014-03-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"   787","PRIMER LOTE ","2014-03-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"29067","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29071","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29073","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29075","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29079","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29082","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29084","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29088","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29097","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29102","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29103","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29104","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29104B","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29105","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29108","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29112","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29116","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29118","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29119","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29120","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"243","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"299","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"29131","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29132","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29133","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29134","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29135","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29139","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29140","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29143","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29153","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29156","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29157R","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29159","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29160","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29161","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29165","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29167","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29168","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29171","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29173","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29174","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29175","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"30033","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"3801","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"3808","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"3813","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"3815","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"3816","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"3828","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"3837","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"3855","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
