"SERIE","FECR","RESP","DIAG","EVAL","PRCITA"
"   959","2014-12-05 00:00:00","","PREÑADA","","0"
"88","2014-12-08 00:00:00","","PREÑADA","","0"
"88","2014-12-08 00:00:00","","VACIA (POR PARTO)","","0"
"85","2014-12-08 00:00:00","","VACIA (POR PARTO)","","0"
"77","2014-12-08 00:00:00","","PREÑADA","","0"
"77","2014-12-08 00:00:00","","VACIA (POR PARTO)","","0"
"89","2014-12-08 00:00:00","","VACIA (POR PARTO)","","0"
"22","2014-12-08 00:00:00","","VACIA (POR PARTO)","","0"
"25","2014-12-08 00:00:00","","PREÑADA","","0"
"25","2014-12-08 00:00:00","","VACIA (POR PARTO)","","0"
"   684","2018-11-12 00:00:00","","PREÑADA","","0"
"   787","2018-05-01 00:00:00","","PREÑADA","","0"
"007","2018-05-01 00:00:00","","PREÑADA","","0"
"015G","2018-05-01 00:00:00","","PREÑADA","","0"
"4781","2018-09-01 00:00:00","","PREÑADA","","0"
"4782","2018-09-01 00:00:00","","PREÑADA","","0"
"4780","2018-09-01 00:00:00","","PREÑADA","","0"
"4783","2018-09-01 00:00:00","","PREÑADA","","0"
"4784","2018-09-01 00:00:00","","PREÑADA","","0"
"4785","2018-09-01 00:00:00","","PREÑADA","","0"
"4786","2018-09-01 00:00:00","","PREÑADA","","0"
"4787","2018-09-01 00:00:00","","PREÑADA","","0"
"4788","2018-09-01 00:00:00","","PREÑADA","","0"
"4780","2018-09-01 00:00:00","","PREÑADA","","0"
"4781","2018-09-01 00:00:00","","PREÑADA","","0"
"4782","2018-09-01 00:00:00","","PREÑADA","","0"
"4783","2018-09-01 00:00:00","","PREÑADA","","0"
"4785","2018-09-01 00:00:00","","PREÑADA","","0"
"4786","2018-09-01 00:00:00","","PREÑADA","","0"
"4787","2018-09-01 00:00:00","","PREÑADA","","0"
"4782","2018-09-01 00:00:00","","PREÑADA","","0"
"4892","2018-03-01 00:00:00","","PREÑADA","","0"
"4893B","2018-03-01 00:00:00","","PREÑADA","","0"
"4891","2018-03-01 00:00:00","","PREÑADA","","0"
"4894","2018-03-01 00:00:00","","PREÑADA","","0"
"4895","2018-03-01 00:00:00","","PREÑADA","","0"
"4897","2018-03-01 00:00:00","","PREÑADA","","0"
"4898","2018-03-01 00:00:00","","PREÑADA","","0"
"4898B","2018-03-01 00:00:00","","PREÑADA","","0"
"4899","2018-03-01 00:00:00","","PREÑADA","","0"
"4900","2018-03-01 00:00:00","","PREÑADA","","0"
"4891","2018-03-01 00:00:00","","PREÑADA","","0"
"5001","2018-01-01 00:00:00","","PREÑADA","","0"
"5002","2018-01-01 00:00:00","","PREÑADA","","0"
"5003","2018-01-01 00:00:00","","PREÑADA","","0"
"5005","2018-01-01 00:00:00","","PREÑADA","","0"
"5006","2018-01-01 00:00:00","","PREÑADA","","0"
"5007","2018-01-01 00:00:00","","PREÑADA","","0"
"5008","2018-01-01 00:00:00","","PREÑADA","","0"
"5000","2018-01-01 00:00:00","","PREÑADA","","0"
"5000","2018-05-01 00:00:00","","PREÑADA","","0"
"5001","2018-05-01 00:00:00","","PREÑADA","","0"
"5005","2018-05-01 00:00:00","","PREÑADA","","0"
"5006","2018-05-01 00:00:00","","PREÑADA","","0"
"5007","2018-05-01 00:00:00","","PREÑADA","","0"
"5008","2018-05-01 00:00:00","","PREÑADA","","0"
"6000B","2018-07-01 00:00:00","","PREÑADA","","0"
"6001","2018-07-01 00:00:00","","PREÑADA","","0"
"6002","2018-07-01 00:00:00","","PREÑADA","","0"
"6005","2018-07-01 00:00:00","","PREÑADA","","0"
"6006B","2018-07-01 00:00:00","","PREÑADA","","0"
"6007","2018-07-01 00:00:00","","PREÑADA","","0"
"00/2","2018-12-10 00:00:00","","PREÑADA","","0"
"00/39","2018-12-10 00:00:00","","PREÑADA","","0"
"8002","1997-12-12 00:00:00","","","VFOD","0"
"8002","1998-05-06 00:00:00","","","   P","0"
"8002","1998-10-02 00:00:00","",""," VOL","0"
"8002","1999-05-17 00:00:00","","","   P","0"
"2051","1987-03-02 00:00:00","","","   P","0"
"2051","1987-11-10 00:00:00","","","   P","0"
"2051","1988-10-15 00:00:00","","","   P","0"
"2051","1990-04-10 00:00:00","","","   P","0"
"2051","1991-04-10 00:00:00","","","   P","0"
"2051","1992-05-21 00:00:00","","","   P","0"
"2051","1993-05-05 00:00:00","","","   P","0"
"2051","1994-08-17 00:00:00","","","   P","0"
"2051","1995-05-31 00:00:00","","","   P","0"
"2051","1997-05-07 00:00:00","","","   P","0"
"2051","1997-12-12 00:00:00","","","CELO","0"
"2051","1998-05-07 00:00:00","","","VFOD","0"
"2051","1998-11-24 00:00:00","","","   P","0"
"2051","1999-05-17 00:00:00","",""," VOL","0"
"2051","1999-08-31 00:00:00","",""," VOL","0"
"2051","1999-11-16 00:00:00","","","VCLD","0"
"2212","1987-06-20 00:00:00","","","   P","0"
"2212","1988-08-30 00:00:00","","","   P","0"
"2212","1990-07-20 00:00:00","","","   P","0"
"2212","1992-02-05 00:00:00","","","   P","0"
"2212","1993-05-20 00:00:00","","","   P","0"
"2212","1994-10-20 00:00:00","","","   P","0"
"2212","1996-06-11 00:00:00","","","   P","0"
"2212","1997-06-18 00:00:00","",""," VOL","0"
"2212","1998-05-06 00:00:00","","","   P","0"
"2212","1998-10-02 00:00:00","",""," INV","0"
"2212","1999-05-17 00:00:00","",""," VOL","0"
"537","1993-03-17 00:00:00","","","   P","0"
"537","1994-04-28 00:00:00","","","   P","0"
"537","1995-03-03 00:00:00","","","   P","0"
"537","1996-06-11 00:00:00","","","   P","0"
"537","1997-11-12 00:00:00","","","   P","0"
"537","1998-05-07 00:00:00","","","   P","0"
"537","1999-08-31 00:00:00","","","   P","0"
