"SERIE","TIPO","ESTADO","EDAD","TIPOAP","FECUP","FECPAR","SEXO","SEXO1","BECER","BECER1","OBSPAR","EDOBEC","EDOBEC1","RAZABE","PESOIB","PESOIB1","IENTPAR","COD","CODAP","MARCABEC1","MARCABEC2","CAUSAnm","OBSERnm","Historia","NCICLO"
"77","VACA VACIA","","02-02","NOVILLA","","2014-12-08 00:00:00","HEMBRA","","0077","","","CONDICION 1","","BRAHMAN","32","0","","11","05","Vi","Mu","CAIDA","","False",""
"89","VACA VACIA","CONDICION 1","02-01","VACA VACIA","","2014-12-08 00:00:00","HEMBRA","","0089","","","CONDICION 1","","BRAHMAN","32","0","","11","11","Vi","Ni","","","False",""
"22","VACA VACIA SIN CRIA","","04-12","NOVILLA","","2014-12-08 00:00:00","","","","","","","","","","0","","13","05","Mu","Ni","MURIO AL NACER","REPORTADO POR LUIS GAMARRA ","False",""
"25","VACA VACIA","","04-11","NOVILLA","","2014-12-08 00:00:00","HEMBRA","","0025","","","CONDICION 1","","BRAHMAN","32","0","","11","05","Vi","Ni","","","False",""
"00/39","VACA VACIA","","10-10","NOVILLA","","2018-12-10 00:00:00","MACHO","","1X","","","CLASE B","","F1","30","0","","11","05","Vi","Ni","","","False",""
"8588","VACA VACIA","CONDICION 2","10-08","VACA PROD.VACIA","1997-12-16 00:00:00","1998-11-10 00:00:00","HEMBRA","","G8167","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","329","11","12","Vi","Ni","","","False",""
"D0141","VACA VACIA","CONDICION 2","03-10","","","1998-11-10 00:00:00","HEMBRA","","G8168","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"4864","VACA VACIA","CONDICION 2","04-02","VACA VACIA","1997-12-02 00:00:00","1998-11-12 00:00:00","MACHO","","G8171","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","345","11","11","Vi","Ni","","","False",""
"D8087","VACA VACIA","CONDICION 2","03-07","","","1998-11-12 00:00:00","MACHO","","G8172","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"3837","VACA VACIA","CONDICION 2","05-08","VACA VACIA","1997-12-11 00:00:00","1998-11-12 00:00:00","HEMBRA","","G8170","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","336","11","11","Vi","Ni","","","False",""
"D80990","VACA VACIA","CONDICION 2","03-05","VACA VACIA","","1998-11-20 00:00:00","HEMBRA","","G8173","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"D8112","VACA VACIA","CONDICION 2","03-04","","","1998-11-20 00:00:00","HEMBRA","","G8174","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"D8145","VACA VACIA","CONDICION 2","03-02","","","1998-11-23 00:00:00","HEMBRA","","G8175","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"D8110","VACA VACIA","CONDICION 2","03-04","","","1998-11-24 00:00:00","HEMBRA","","G8176","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"2869","VACA VACIA","CONDICION 2","06-07","VACA PROD.VACIA","1997-12-05 00:00:00","1998-11-24 00:00:00","HEMBRA","","G8177","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","354","11","12","Vi","Ni","","","False",""
"3813","VACA VACIA","CONDICION 2","05-08","VACA PROD.VACIA","1998-01-07 00:00:00","1998-11-27 00:00:00","MACHO","","G8179","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","324","11","12","Vi","Ni","","","False",""
"231","VACA VACIA","CONDICION 2","10-08","VACA PROD.VACIA","1997-12-13 00:00:00","1998-11-29 00:00:00","MACHO","","G8180","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","351","11","12","Vi","Ni","","","False",""
"E8019","VACA VACIA","CONDICION 2","02-12","","","1998-12-07 00:00:00","MACHO","","H8003","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"4872","VACA VACIA","CONDICION 2","04-02","VACA VACIA","1997-07-22 00:00:00","1998-12-11 00:00:00","MACHO","","H8005","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","507","11","11","Vi","Ni","","","False",""
"589","VACA VACIA","CONDICION 2","08-06","VACA PROD.VACIA","1997-08-22 00:00:00","1998-10-07 00:00:00","MACHO","","G8149","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","411","11","12","Vi","Ni","","","False",""
"2814","VACA VACIA","CONDICION 2","06-06","VACA PROD.VACIA","1997-09-14 00:00:00","1998-10-07 00:00:00","MACHO","","G8151","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","388","11","12","Vi","Ni","","","False",""
"9546","VACA VACIA","CONDICION 2","10-08","VACA PROD.VACIA","1997-12-02 00:00:00","1998-10-28 00:00:00","MACHO","","G8158","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","330","11","12","Vi","Ni","","","False",""
"7014","VACA VACIA","CONDICION 2","13-08","VACA PROD.VACIA","1997-12-03 00:00:00","1998-10-28 00:00:00","MACHO","","G8164","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","329","11","12","Vi","Ni","","","False",""
"2808","VACA VACIA","CONDICION 2","07-07","VACA PROD.VACIA","1997-12-05 00:00:00","1998-10-28 00:00:00","HEMBRA","","G8156","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","327","11","12","Vi","Ni","","","False",""
"586","VACA VACIA","CONDICION 2","08-08","VACA PROD.VACIA","1997-12-15 00:00:00","1998-10-28 00:00:00","MACHO","","G8159","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","317","11","12","Vi","Ni","","","False",""
"2852","VACA VACIA","CONDICION 2","06-07","VACA PROD.VACIA","1997-09-29 00:00:00","1998-10-28 00:00:00","MACHO","","G8163","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","394","11","12","Vi","Ni","","","False",""
"8516","VACA VACIA","CONDICION 2","11-07","VACA PROD.VACIA","1997-08-03 00:00:00","1998-10-28 00:00:00","HEMBRA","","G8157","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","451","11","12","Vi","Ni","","","False",""
"581","VACA VACIA","CONDICION 2","09-08","VACA PROD.VACIA","1997-11-02 00:00:00","1998-10-28 00:00:00","HEMBRA","","G8160","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","360","11","12","Vi","Ni","","","False",""
"D8141","VACA VACIA","CONDICION 2","03-03","VACA VACIA","","1998-11-10 00:00:00","HEMBRA","","G8168","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"3808","VACA VACIA","CONDICION 2","05-07","VACA PROD.VACIA","1997-12-14 00:00:00","1998-11-10 00:00:00","MACHO","","G8165","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","331","11","12","Vi","Ni","","","False",""
"4836","VACA VACIA","CONDICION 2","04-08","VACA PROD.VACIA","1997-08-03 00:00:00","1998-11-10 00:00:00","MACHO","","G8169","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","464","11","12","Vi","Ni","","","False",""
"9557","VACA VACIA","CONDICION 2","10-08","VACA PROD.VACIA","1997-11-14 00:00:00","1998-11-10 00:00:00","HEMBRA","","G8166","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","361","11","12","Vi","Ni","","","False",""
"D8130","VACA VACIA","CONDICION 2","03-04","","","1998-12-17 00:00:00","MACHO","","H8006","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"9586","VACA VACIA","CONDICION 2","09-08","VACA PROD.VACIA","1998-02-02 00:00:00","1998-12-19 00:00:00","MACHO","","H8008","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","320","11","12","Vi","Ni","","","False",""
"6078","VACA VACIA","CONDICION 2","02-08","","","1998-12-20 00:00:00","MACHO","","H8010","","","CONDICION 2","","BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"6074","VACA VACIA","CONDICION 2","02-08","","","1998-12-23 00:00:00","MACHO","","H8011","","","CONDICION 2","","BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"1602","VACA VACIA","CONDICION 2","07-08","VACA PROD.VACIA","1998-01-17 00:00:00","1998-11-27 00:00:00","HEMBRA","","G8178","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","314","11","12","Vi","Ni","","","False",""
