"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP"
"2804","1996-12-02 00:00:00","1996-11-02 00:00:00","1996-01-11 00:00:00","1996-09-30 00:00:00","495.6","1.88441064638783","263","263","1996-02-21 00:00:00","","","","","1996-04-06 00:00:00","43","313","0","1","","1996-03-07 00:00:00",""
"8553","","1996-10-31 00:00:00","1996-01-15 00:00:00","","0","0","7030","7030","","","","","","","0","0","0","1","","",""
"8560","","1996-12-01 00:00:00","1996-02-10 00:00:00","","84.9","0.0121216447744146","7004","7004","","","","","","","0","0","0","1","","",""
"2820","","1996-12-13 00:00:00","1996-02-27 00:00:00","","360","0.051524259338772","6987","6987","","","","","","","0","0","0","1","","",""
"8506","","1997-03-03 00:00:00","1996-05-16 00:00:00","","478.4","0.0692530399536769","6908","6908","","","","","","","0","0","0","1","","",""
"4806","","1997-03-14 00:00:00","1996-05-28 00:00:00","","0","0","6896","6896","","","","","","","0","0","0","1","","",""
"582","","1997-04-12 00:00:00","1996-06-26 00:00:00","","449.9","0.0655162370758701","6867","6867","","","","","","","0","0","0","1","","",""
"3858","","1997-06-27 00:00:00","1996-09-10 00:00:00","","512.88","0.0755234869680459","6791","6791","","","","","","","0","0","0","1","","",""
"2863","","1997-07-13 00:00:00","1996-09-26 00:00:00","","523.395833333333","0.0772539975399754","6775","6775","","","","","","","0","0","0","1","","",""
"7511","","1997-07-16 00:00:00","1996-09-29 00:00:00","","1193.71183333333","0.176271682417799","6772","6772","","","","","","","0","0","0","1","","",""
"40","","1997-08-07 00:00:00","1996-10-21 00:00:00","","809.999166666667","0.11999987654321","6750","6750","","","","","","","0","0","0","1","","",""
"3855","","1997-08-29 00:00:00","1996-11-12 00:00:00","","882.031166666667","0.13109856817281","6728","6728","","","","","","","0","0","0","1","","",""
"584","","1997-09-01 00:00:00","1996-11-15 00:00:00","","0","0","6725","6725","","","","","","","0","0","0","1","","",""
"8599","","1997-09-13 00:00:00","1996-11-27 00:00:00","","815.659833333333","0.121504518595759","6713","6713","","","","","","","0","0","0","1","","",""
"4825","","1997-09-14 00:00:00","1996-11-28 00:00:00","","112.1","0.0167014302741359","6712","6712","","","","","","","0","0","0","1","","",""
"4843","","1997-09-21 00:00:00","1996-12-05 00:00:00","","109.8","0.0163758389261745","6705","6705","","","","","","","0","0","0","1","","",""
"8606","","1997-09-30 00:00:00","1996-12-14 00:00:00","","85.3","0.0127389486260454","6696","6696","","","","","","","0","0","0","1","","",""
"1511","","1997-10-03 00:00:00","1996-12-17 00:00:00","","880.705166666667","0.131586010259475","6693","6693","","","","","","","0","0","0","1","","",""
"8527","","1997-10-03 00:00:00","1996-12-17 00:00:00","","146","0.0218138353503661","6693","6693","","","","","","","0","0","0","1","","",""
"3804","","1997-10-05 00:00:00","1996-12-19 00:00:00","","1068.16916666667","0.159642679220844","6691","6691","","","","","","","0","0","0","1","","",""
"4803","","1997-10-12 00:00:00","1996-12-26 00:00:00","","842.8415","0.126098369239976","6684","6684","","","","","","","0","0","0","1","","",""
"1563","","1997-11-06 00:00:00","1997-01-20 00:00:00","","1125.35533333333","0.168997647294389","6659","6659","","","","","","","0","0","0","1","","",""
"4841","","1997-11-28 00:00:00","1997-02-11 00:00:00","","121.6","0.0183215308121139","6637","6637","","","","","","","0","0","0","1","","",""
"465","","1997-12-15 00:00:00","1997-02-28 00:00:00","","1013.428","0.15308580060423","6620","6620","","","","","","","0","0","0","1","","",""
"4834","","1997-12-15 00:00:00","1997-02-28 00:00:00","","927.6925","0.140134818731118","6620","6620","","","","","","","0","0","0","1","","",""
"4838","","1997-12-19 00:00:00","1997-03-04 00:00:00","","-993.78","-0.150208585247884","6616","6616","","","","","","","0","0","0","1","","",""
