"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP","Historia","NCICLO"
"9546","1998-09-08 00:00:00","1998-08-09 00:00:00","","","","","","","","","","","","1998-01-11 00:00:00","0","0","0","1","","1997-12-12 00:00:00","","False",""
"7014","1998-09-08 00:00:00","1998-08-09 00:00:00","","","","","","","","","","","","1998-01-11 00:00:00","0","0","0","1","","1997-12-12 00:00:00","","False",""
"2808","1998-09-08 00:00:00","1998-08-09 00:00:00","","","","","","","","","","","","1998-01-11 00:00:00","0","0","0","1","","1997-12-12 00:00:00","","False",""
"586","1998-09-08 00:00:00","1998-08-09 00:00:00","","","","","","","","","","","","1998-01-11 00:00:00","-3","267","0","1","Monta Libre","1997-12-12 00:00:00","","False",""
"2852","1998-09-21 00:00:00","1998-08-22 00:00:00","","","","","","","","","","","","1998-01-24 00:00:00","0","0","0","1","","1997-12-25 00:00:00","","False",""
"8516","1998-10-06 00:00:00","1998-09-06 00:00:00","","","","","","","","","","","","1998-02-08 00:00:00","0","0","0","1","","1998-01-09 00:00:00","","False",""
"581","1998-10-21 00:00:00","1998-09-21 00:00:00","","","","","","","","","","","","1998-02-23 00:00:00","0","0","0","1","","1998-01-24 00:00:00","","False",""
"D8141","1999-01-02 00:00:00","1998-12-03 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","8.5","Monta Libre","1998-04-07 00:00:00","","False",""
"3808","1998-10-12 00:00:00","1998-09-12 00:00:00","","","","","","","","","","","","1998-02-14 00:00:00","0","0","0","1","","1998-01-15 00:00:00","","False",""
"4836","1998-11-05 00:00:00","1998-10-06 00:00:00","","","","","","","","","","","","1998-03-10 00:00:00","0","0","0","1","","1998-02-08 00:00:00","","False",""
"9557","1998-10-21 00:00:00","1998-09-21 00:00:00","","","","","","","","","","","","1998-02-23 00:00:00","0","0","0","1","","1998-01-24 00:00:00","","False",""
"8588","1998-10-21 00:00:00","1998-09-21 00:00:00","","","","","","","","","","","","1998-02-23 00:00:00","0","0","0","1","","1998-01-24 00:00:00","","False",""
"D0141","1998-09-08 00:00:00","1998-08-09 00:00:00","","","","","","","","","","","","1998-01-11 00:00:00","0","0","0","1","","1997-12-12 00:00:00","","False",""
"4864","1998-09-18 00:00:00","1998-08-19 00:00:00","","","","","","","","","","","","1998-01-21 00:00:00","0","0","0","1","","1997-12-22 00:00:00","","False",""
"D8087","1998-09-24 00:00:00","1998-08-25 00:00:00","","","","","","","","","","","","1998-01-27 00:00:00","0","0","0","1","","1997-12-28 00:00:00","","False",""
"3837","1998-10-27 00:00:00","1998-08-13 00:00:00","","","","","","210","1998-01-15 00:00:00","","","","","1998-02-14 00:00:00","35","320","0","1","Monta Libre","1998-01-15 00:00:00","","False",""
"D80990","1998-09-11 00:00:00","1998-08-12 00:00:00","","","","","","","","","","","","1998-01-14 00:00:00","0","0","0","1","Monta Libre","1997-12-15 00:00:00","","False",""
"D8112","1998-09-24 00:00:00","1998-08-25 00:00:00","","","","","","","","","","","","1998-01-27 00:00:00","0","0","0","1","","1997-12-28 00:00:00","","False",""
