"SERIE","FECHA","TORO","PAJU","NOMI","MARCA","SNRO","TIPO","EDAD","PESO","COD","Historia","NCICLO"
"   430","1999-02-21 00:00:00","","         P-7","MV.JULIO CAMPOLARGO","1","1","VACA VACIA","07-11","0","","False",""
"   430","1999-09-27 00:00:00","205","","","1","1","VACA VACIA","08-06","0","11","False",""
"   5/2","1998-04-23 00:00:00","","BB 71/4","ARMANDO PAZ","","01","","","0","IN","False",""
"   5/2","1999-01-13 00:00:00","","P-407","GENARO RODRIGUEZ","1","2","VACA VACIA","04-02","0","","False",""
"1529","1999-01-06 00:00:00","","P-407","GENARO RODRIGUEZ","1","1","VACA PROD.VACIA","08-07","0","","False",""
"D0159","1999-01-10 00:00:00","93627M","","","1","1","VACA VACIA","03-10","0","11","False",""
"   243","1999-08-31 00:00:00","","     BR1929","JORGE ROMERO","","01","","","0","","False",""
"   243","1999-09-19 00:00:00","","     BR1929","SAUL MONTOYA","¹","02","","","0","","False",""
"229","1991-09-10 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"229","1992-07-18 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"229","1993-09-30 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"229","1994-09-05 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"229","1995-07-10 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"229","1996-12-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"229","1998-06-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"8002","1992-05-05 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"8002","1993-04-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"8002","1994-01-30 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"8002","1995-01-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"8002","1996-03-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"8002","1997-11-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"8002","1999-03-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2051","1986-11-01 00:00:00","  INDEFINIDO","","","","0","","03-05","0","","False",""
"2051","1987-09-20 00:00:00","  INDEFINIDO","","","","0","","04-04","0","","False",""
"2051","1988-07-30 00:00:00","  INDEFINIDO","","","","0","","05-02","0","","False",""
"2051","1989-12-15 00:00:00","  INDEFINIDO","","","","0","","06-07","0","","False",""
"2051","1991-02-10 00:00:00","  INDEFINIDO","","","","0","","07-09","0","","False",""
"2051","1992-01-20 00:00:00","  INDEFINIDO","","","","0","","08-08","0","","False",""
"2051","1993-03-20 00:00:00","  INDEFINIDO","","","","0","","09-10","0","","False",""
"2051","1994-03-20 00:00:00","  INDEFINIDO","","","","0","","10-10","0","","False",""
"2051","1995-03-15 00:00:00","  INDEFINIDO","","","","0","","11-10","0","","False",""
"2051","1996-11-01 00:00:00","  INDEFINIDO","","","","0","","13-05","0","","False",""
"2051","1998-04-24 00:00:00","  INDEFINIDO","","","","0","","14-11","0","","False",""
"2212","1987-04-10 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2212","1988-06-20 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2212","1990-05-10 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2212","1991-08-20 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2212","1993-03-20 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2212","1994-08-17 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2212","1995-12-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"2212","1997-12-20 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"537","1992-06-19 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"537","1993-09-30 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"537","1994-10-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"537","1995-10-30 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"537","1997-03-15 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"537","1998-03-07 00:00:00","  INDEFINIDO","","","","0","","","0","","False",""
"546","1992-11-25 00:00:00","  INDEFINIDO","","","","0","","04-07","0","","False",""
"546","1994-04-30 00:00:00","  INDEFINIDO","","","","0","","06-00","0","","False",""
"546","1995-12-30 00:00:00","  INDEFINIDO","","","","0","","07-08","0","","False",""
"546","1998-09-25 00:00:00","  INDEFINIDO","","","","0","","10-05","0","","False",""
"587","1993-12-15 00:00:00","  INDEFINIDO","","","","0","","03-09","0","","False",""
"587","1995-03-20 00:00:00","  INDEFINIDO","","","","0","","05-00","0","","False",""
"587","1996-04-20 00:00:00","  INDEFINIDO","","","","0","","06-01","0","","False",""
"587","1997-10-21 00:00:00","  INDEFINIDO","","","","0","","07-07","0","","False",""
"592","1993-08-15 00:00:00","  INDEFINIDO","","","","0","","03-05","0","","False",""
"592","1995-01-20 00:00:00","  INDEFINIDO","","","","0","","04-10","0","","False",""
"592","1996-02-10 00:00:00","  INDEFINIDO","","","","0","","05-11","0","","False",""
"592","1997-04-01 00:00:00","  INDEFINIDO","","","","0","","07-00","0","","False",""
"592","1998-11-10 00:00:00","  INDEFINIDO","","","","0","","08-08","0","","False",""
"670","1994-03-10 00:00:00","  INDEFINIDO","","","","0","","03-01","0","","False",""
"670","1995-05-31 00:00:00","  INDEFINIDO","","","","0","","04-04","0","","False",""
"670","1996-09-07 00:00:00","  INDEFINIDO","","","","0","","05-07","0","","False",""
"670","1998-03-07 00:00:00","  INDEFINIDO","","","","0","","07-01","0","","False",""
"          01","1999-12-15 00:00:00","","       P9124","ENRIQUE BELEÑOS","1","01","VACA VACIA","05-12","0","","False",""
"          04","1999-11-25 00:00:00","","        H027","ENRIQUE BELEÑOS","1","01","VACA VACIA","04-11","0","","False",""
"          27","1998-10-18 00:00:00","","       HC177","DIOGENES","","01","VACA VACIA","07-10","0","","False",""
"          27","1999-02-04 00:00:00","","       HC177","ENRIQUE BELEÑOS","","02","VACA VACIA","08-02","0","","False",""
"004","2000-03-13 00:00:00","","P-407","GENARO RODRIGUEZ","1","01","VACA VACIA SIN CRIA","11-05","0","","False",""
"003JB","2000-03-08 00:00:00","30344","","","1","01","VACA VACIA","11-04","884.37","11","False",""
"011","2000-03-13 00:00:00","","P-407","GENARO RODRIGUEZ","","01","VACA VACIA","11-05","0","","False",""
"011","2000-04-13 00:00:00","93627M","","","1","02","VACA VACIA","11-06","0","11","False",""
"1529","1999-10-15 00:00:00","","P-407","GENARO RODRIGUEZ","","01","VACA VACIA","09-05","0","","False",""
"1529","1999-11-15 00:00:00","93627M","","","","02","VACA VACIA","09-06","0","11","False",""
"1529","1999-12-15 00:00:00","30344","","","1","03","VACA VACIA","09-07","0","11","False",""
"1549","1999-01-06 00:00:00","","P-407","GENARO RODRIGUEZ","1","01","VACA VACIA","08-07","0","","False",""
"25204","2008-07-11 00:00:00","","H326","TIRSO","1","1","NOVILLA","02-11","0","","False",""
"25290","2008-05-23 00:00:00","","VQPS3188","TIRSO","1","1","NOVILLA","02-08","0","","False",""
"6220","1999-08-18 00:00:00","","555","ARM SULPICIO ROJAS","","1","NOVILLA","03-03","0","","False",""
"6220","1999-09-06 00:00:00","","555","ARM SULPICIO ROJAS","","2","NOVILLA","03-03","0","","False",""
"45200","2008-04-15 00:00:00","","P-407","BENITO HERNANDEZ","1","1","NOVILLA","02-02","355.36","","False",""
"   702","1999-11-03 00:00:00","","     4VH-019","SAUL MONTOYA","","01","","","0","","False",""
"   702","1999-12-15 00:00:00","","     14B0176","SAUL MONTOYA","","02","","","0","","False",""
