"COD","DESC"
"IG","IGUAL"
"CM","MAYOR"
"CM","MENOR"
"CM","ENTRE"
"SX","MACHO"
"SX","HEMBRA"
"TX","IGUAL"
"TX","COMIENCE"
"TX","TERMINE"
"TX","CONTENGA"
"LV","Rebaño de la Finca"
"TP","BECERRO"
"TP","BECERRA"
"TP","MAUTE"
"TP","MAUTA"
"TP","NOVILLO"
"TP","NOVILLA"
"TP","VACA SECA/HORRA"
"TP","VACA VACIA"
"TP","VACA PREÑADA"
"TP","TORO RECELADOR"
"TP","TORO PADROTE"
"TP","TORO"
"TP","VACA PROD.VACIA"
"ED","CONDICION 1"
"ED","CONDICION 2"
"ED","CONDICION 5"
"ED","CONDICION 3"
"ED","CONDICION 4"
"ED","DESCARTE"
"RI","VENTA GANADO MACHO"
"RI","VENTA LECHE PROLLOSA"
"NA","BONO TRANSPORTE"
"NA","BONO COMEDOR"
"ND","FALTAS"
"ND","ADELANTO DE SUELDO"
"NA","BONO COMPENSATORIO"
"ND","SEGURO SOCIAL"
"RI","VENTA DE PACA"
"MD","ANTIDIARREICO"
"MD","ANTIMASTITICO"
"MD","VITAMINAS"
"MD","IMPLANTES HORMONALES"
"ND","DESCUENTO PRESTAMO"
"NA","ASIGNACION POR HIJOS"
"NA","SUELDO"
"NA","INSENTIVO LABORAL"
"MD","VACUNAS"
"RE","FERRETERIA"
"RE","PERSONAL"
"RE","TALLERES"
"RE","FARMACIA"
"RE","AGROPECUARIA"
"MD","HIDRATANTE"
"RI","VENTA GANADO HEMBRA"
"RI","SERVICIO DE MAQUIN."
"RI","VENTA DE SORGO"
"RE","GASOLINA"
"RE","GASOIL"
"RE","LUBRICANTES"
"RE","REPUESTOS"
"RE","VIVERES"
"RE","ALIMENTO CONCENTRADO"
"RE","SERVICIO VETERINAR."
"RE","REPARAC. Y SERVICIO"
"RE","REPARACION CAUCHOS"
"RE","RECONSTRUCCION GRAL."
"RE","MATERIAL DE GANADER."
"RE","MOTORES"
"RE","LATONERIA Y PINTURA"
"RE","PINTURA VIVIENDA"
"RE","PINTURA INST. METAL."
"RE","MANT. EQUIPOS REFRI."
"RE","MATERIAL DE OFICINA"
"RE","MATERIAL DE CONSTR."
"RE","SEMILLAS"
"RE","FERTILIZANTES"
"RE","SERVICIO DE ELECT."
"RE","SERVICIO DE BOMBAS"
"RE","SERVICIO COMPUTACION"
"RE","SERVICIO AGROPECUAR."
"RE","SERVICIO DE SEGUROS"
"RE","MATERIAL COMPUTACION"
"RE","SERVICIO FLETES"
"RE","SERVICIO CARPINTERIA"
"RE","SERVICIO CERRAJERIA"
"RE","HERBICIDAS"
"RE","MANT. EQUIPO ORDEÑO"
"RE","ALIMENTO PERROS"
"RE","ALIMENTO CABALLOS"
"RE","AIRE ACONDICIONADO"
"RE","EQUIPOS CASA"
"RE","MUNICIONES"
"RE","MEDICINA VETERINARIA"
"RE","COMPRA CAUCHOS"
"RE","FERRETERIA AGRICOLA"
"RE","VIALIDAD AGRICOLA"
"RE","IMPLEMENTOS AGRICOLA"
"MD","ANTIANEMICO"
"RE","CASA DE PLAYA"
"TP","NOVILLA PREÑADA"
"MD","ANTIHELMINTICO"
"MD","ANTIBIOTICOS"
"MD","SULFONAMIDAS"
"MD","ANTIMICOTICOS"
"MD","ANTIFUNGOSOS"
"MD","NITROFURANOS"
"MD","ANTIPARASITARIOS EXT"
"MD","ANTIPARASITARIOS INT"
"MD","COCCIDIOSTATICOS"
"MD","BACTERINAS"
"MD","RECONSTITUYENTES"
"MD","ANABOLIZANTES"
"MD","ANTIINFLAMATORIOS"
"MD","CICATRIZANTES"
"MD","DESINFECTANTES"
"MD","ANALGESICOS"
"MD","ANESTESICO"
"MD","TRANQUILIZANTES"
"MD","ANTIPIRETICOS"
"MD","ESTIMULANTES DE REP."
"MD","PURGANTES"
"MD","ESPECTORANTES"
"MD","LAXANTES"
"MD","ANTICATARRALES"
"MD","PREMEZCLAS MINERALES"
"MD","ANTISEPTICOS"
"MD","REPELENTES"
"MD","CONSERVANTES"
"MD","ESTIMULANTE HORMONAL"
"MD","POLIVITAMINICO"
"MD","SUERO"
"MD","AMINOACIDO"
"MD","ESTIMULANTE DE RUMIA"
