"COD","DESCSIMEF","DESCUSU","UAS","UAU"
"01","BECERRO","","0.25","0.25"
"02","BECERRA","","0.25","0.25"
"03","MAUTE","","0.5","0.5"
"04","MAUTA","","0.5","0.5"
"05","NOVILLA","","1","1"
"06","NOVILLA PREÑADA","","1","1"
"07","NOVILLO","","1","1"
"08","TORO","","1.5","1.5"
"09","TORO PADROTE","","1.5","1.5"
"10","TORO RECELADOR","","1.5","1.5"
"11","VACA VACIA","","1","1"
"12","VACA PROD.VACIA","","1","1"
"13","VACA VACIA SIN CRIA","","1","1"
"14","VACA PREÑADA","","1","1"
"15","VACA SECA/HORRA","","1","1"
