"SERIE","NOMBRE","CODM","NOMBREM","CODP","NOMBREP","PAJU","FNAC","FECR","FECS","DESTINO","TIPO","RAZA","SEXO","COLORBO","COLORPE","COLORMO","OBSER","PROCEDE","ESTADO","PESOI","PRECIO","PPIES","PESACT","FULPES","PESDES","FECDES","NPARTO","DPARTO","NSERVI","FECUA","FECUP","ABORTO","EDADPP","PESOPP","TIPOAP","TIPOPS","LOTE","LPROD","LPAST","LNACI","LTEMP","ASOC1","SERIE1","ASOC2","SERIE2","ASOC3","SERIE3","ULTGDP","COD","CODAP","CODPS","TIPOREGISTRO1","TIPOREGISTRO2","RAZAPADRE","RAZAMADRE","FECNACPADRE","FECNACMADRE","NROREGPADRE1","NROREGPADRE2","NROREGMADRE1","NROREGMADRE2","ASOCPADRE1","ASOCPADRE2","ASOCMADRE1","ASOCMADRE2","TIPOREGPADRE1","TIPOREGPADRE2","TIPOREGMADRE1","TIPOREGMADRE2","CODAINIORD","Pa1","Pa2","Pa3","Pa4","UA","EsPajuelaPadre","Vaquera","Historia","NCRIAS","NPARREPOR","NABOREPOR"
"25204","","9086","","","","","2005-09-08 00:00:00","2005-09-08 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","VACA VACIA SIN CRIA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","30","897000","","345","2008-08-05 00:00:00","180","2006-05-26 00:00:00","1","0","0","","2009-09-18 00:00:00","","04-00","0","NOVILLA","","NO PASARON OCT.2011","","","","LOTE TRES 2011","","","","","","","0.35","13","05","","","","","BRAHMAN","","1999-06-12 00:00:00","","","","","","","","","","","","","","0","0","0","0","1","False","","False","1","1","0"
"25290","","  5575","","","","","2005-09-27 00:00:00","2005-09-27 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","VACA VACIA SIN CRIA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","30","884000","","340","2008-03-15 00:00:00","195","2006-05-26 00:00:00","1","0","0","2011-10-03 00:00:00","2009-03-16 00:00:00","1","03-05","0","VACA VACIA SIN CRIA","","NO PASARON OCT.2011","","","","LOTE TRES 2010","","","","","","","0.22","13","13","","","","","BRAHMAN","","1995-09-12 00:00:00","","","","","","","","","","","","","","30","0","0","0","1","False","","False","1","1","1"
"29204","","20530","","","","","2009-08-31 00:00:00","2009-08-31 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","29","338000","","130","2010-03-30 00:00:00","130","2010-03-30 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.479","04","","","","","","BRAHMAN","","2001-01-30 00:00:00","","","","","","","","","","","","","","29","0","0","0","0.5","False","","False","0","0","0"
"29341","","9038","","","","","2009-10-13 00:00:00","2009-10-13 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","27","468000","","180","2010-06-30 00:00:00","180","2010-06-30 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.588","04","","","","","","BRAHMAN","","1999-05-10 00:00:00","","","","","","","","","","","","","","0","0","0","0","0.5","False","","False","0","0","0"
"29376","","21116","","","","","2009-11-16 00:00:00","2009-11-16 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","29","468000","","180","2010-06-30 00:00:00","180","2010-06-30 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.668","04","","","","","","BRAHMAN","","2001-08-15 00:00:00","","","","","","","","","","","","","","29","0","0","0","0","False","","False","0","0","0"
"30624","","26242","","","","","2010-02-06 00:00:00","","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA EL PROGRESO","","19","85050","","135","2011-08-15 00:00:00","210","2011-04-04 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.209","04","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.5","False","","False","0","0","0"
"31352","","22498","","1022T","DE MATAPALITO 1022","","2011-04-12 00:00:00","2011-04-12 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","BECERRA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","28","2600","","28","","","","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0","02","","","","","BRAHMAN","BRAHMAN","2000-05-11 00:00:00","2002-11-18 00:00:00","","","","","","","","","","","","","","0","0","0","0","0.25","False","","False","0","0","0"
"   702","MANSITA","","","","","","1991-05-15 00:00:00","1991-05-16 00:00:00","2013-04-19 00:00:00","GARROVAL","VACA VACIA","MESTIZO PARDO 1/2","False","NEGRA","HOSCA OSCURA","BLANCO","","CLAVELITO","CONDICION 1","33","0","","33","","","","6","4694","1","","2012-07-24 00:00:00","","","","VACA VACIA","VACA PROD.VACIA","L1 VAC ORD","l1","","","LOTE 1 - 2011","","","","","","","0","11","11","12","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","1","1","0"
"   710","ARRECHERA","","","","","","1993-02-05 00:00:00","1993-02-06 00:00:00","2013-04-19 00:00:00","GARROVAL","VACA PROD.VACIA","MESTIZO PARDO 1/2","False","NEGRA","CENIZAOSCURO","BLANCO","","CLAVELITO","CONDICION 1","31","0","","509","1998-01-10 00:00:00","","","5","521","0","","1999-10-15 00:00:00","","","","VACA PROD.VACIA","","L1 VAC ORD","PROD. 2","","","LOTE 1","","","","","","","0.266","12","12","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"   722","ORO NEGRO","","","","","","1992-03-03 00:00:00","1992-03-04 00:00:00","2013-04-19 00:00:00","GARROVAL","VACA PROD.VACIA","MESTIZO HOLSTEIN 1/2","False","NEGRA","NERGA","NEGRO","","AGUA SANTA","CONDICION 1","0","0","","429","1999-04-27 00:00:00","","","5","503","0","","1999-09-13 00:00:00","","","","VACA PROD.VACIA","","L1 VAC ORD","l1","ant","","LOTE 1","","","","","","","0.107","12","12","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
