"CODCAMPO","VALOR","SIGNIFICADO","MANEJO"
"CAMPO 1","0","BRAHMAN","001"
"CAMPO 1","1","MESTIZO BRAHMAN","001"
"CAMPO 1","2","MESTIZO CARORA","001"
"CAMPO 1","3","MESTIZO HOLSTEIN","001"
"CAMPO 1","4","MESTIZO PARDO","001"
"CAMPO 1","5","MESTIZO SENEPOL","001"
"CAMPO 1","6","NO REGISTRADO","001"
"CAMPO 1","7","PARDO SUIZO PURO","001"
"CAMPO 1","8","SENEPOL","001"
"CAMPO 2","0","CONDICION 1","001"
"CAMPO 2","1","CONDICION 2","001"
"CAMPO 2","2","CONDICION 3","001"
"CAMPO 2","3","CONDICION 4","001"
"CAMPO 2","4","CONDICION 5","001"
"CAMPO 2","5","DESCARTE","001"
"CAMPO 3","0","BECERRO","001"
"CAMPO 3","1","BECERRA","001"
"CAMPO 3","2","MAUTE","001"
"CAMPO 3","3","MAUTA","001"
"CAMPO 3","4","NOVILLA","001"
"CAMPO 3","5","NOVILLA PREÑADA","001"
"CAMPO 3","6","NOVILLO","001"
"CAMPO 3","7","TORO","001"
"CAMPO 3","8","TORO PADROTE","001"
"CAMPO 3","9","TORO RECELADOR","001"
"CAMPO 3","A","VACA VACIA","001"
"CAMPO 3","B","VACA PROD.VACIA","001"
"CAMPO 3","C","VACA VACIA SIN CRIA","001"
"CAMPO 3","D","VACA PREÑADA","001"
"CAMPO 3","E","VACA SECA/HORRA","001"
"CAMPO 4","0","1 VACAS","001"
"CAMPO 4","1","10 BRAHMAN","001"
"CAMPO 4","2","11 SENEPOL","001"
"CAMPO 4","3","12 MESTIZO SENEPOL","001"
"CAMPO 4","4","13 MATADERO 1","001"
"CAMPO 4","5","14 MATADERO 2","001"
"CAMPO 4","6","2 MACHOS","001"
"CAMPO 4","7","3 HEMBRAS","001"
"CAMPO 4","8","4 MAUTAS","001"
"CAMPO 4","9","5 MAUTES","001"
"CAMPO 4","A","6 TOROS","001"
"CAMPO 4","B","7 MATADERO","001"
"CAMPO 4","C","8 VENTA","001"
"CAMPO 4","D","9 TUY","001"
"CAMPO 4","E","MAUTES","001"
"CAMPO 6","0","FINCA LA GIOCONDA","001"
"CAMPO 6","1","MANUEL ANGULO SAN DIEGO","001"
"CAMPO 6","2","MEDANITO","001"
"CAMPO 6","3","TRIPLE PAR","001"
"CAMPO 6","4","W.C.","001"
